,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
906611967066025990,5.636905158083737,601,347,124,128,2018-05-08_11_05_17,2275,2017-09-09,906611967066025990,http://twitter.com/SenTomCotton/status/906611967066025990
909469383130464256,5.723469945378982,732,364,153,173,2018-05-08_11_03_31,2615,2017-09-17,909469383130464256,http://twitter.com/SenTomCotton/status/909469383130464256
914849285191208961,5.436546275432147,886,813,2.3K,139,2018-05-08_11_01_59,2836,2017-10-02,914849285191208961,http://twitter.com/SenTomCotton/status/914849285191208961
917192510434406400,5.608578856170112,577,442,147,204,2018-05-08_11_00_24,2102,2017-10-08,917192510434406400,http://twitter.com/SenTomCotton/status/917192510434406400
918914953930838016,5.562003231038066,619,508,167,226,2018-05-08_10_58_42,2329,2017-10-13,918914953930838016,http://twitter.com/SenTomCotton/status/918914953930838016
920390606509232129,5.6951051051012636,333,306,86,74,2018-05-08_10_57_16,1149,2017-10-17,920390606509232129,http://twitter.com/SenTomCotton/status/920390606509232129
897577436518510592,5.745974576269155,236,41,76,10,2018-05-08_11_14_07,930,2017-08-15,897577436518510592,http://twitter.com/SenTomCotton/status/897577436518510592
898638954802454528,5.59982300885928,452,523,133,226,2018-05-08_11_12_38,1662,2017-08-18,898638954802454528,http://twitter.com/SenTomCotton/status/898638954802454528
899822016282447875,5.695364145673128,714,1265,227,395,2018-05-08_11_10_52,2537,2017-08-21,899822016282447875,http://twitter.com/SenTomCotton/status/899822016282447875
905117088565661698,5.660807881804067,1015,503,288,283,2018-05-08_11_09_28,3465,2017-09-05,905117088565661698,http://twitter.com/SenTomCotton/status/905117088565661698
905390872996564993,5.636727605137852,547,98,167,18,2018-05-08_11_08_04,1857,2017-09-06,905390872996564993,http://twitter.com/SenTomCotton/status/905390872996564993
905913869243179008,5.708124999999683,288,266,65,102,2018-05-08_11_06_38,1042,2017-09-07,905913869243179008,http://twitter.com/SenTomCotton/status/905913869243179008
893199835557449730,5.358719211821829,203,57,72,12,2018-05-08_11_23_09,732,2017-08-03,893199835557449730,http://twitter.com/SenTomCotton/status/893199835557449730
893222048331378690,5.648145363405828,399,153,76,43,2018-05-08_11_21_39,1204,2017-08-03,893222048331378690,http://twitter.com/SenTomCotton/status/893222048331378690
893586124312018944,5.7273456790202655,486,219,115,87,2018-05-08_11_20_05,1583,2017-08-04,893586124312018944,http://twitter.com/SenTomCotton/status/893586124312018944
894606584764026882,5.5774834437062575,302,196,70,94,2018-05-08_11_18_37,938,2017-08-07,894606584764026882,http://twitter.com/SenTomCotton/status/894606584764026882
896722357431259140,5.682953736675942,843,2198,468,856,2018-05-08_11_17_05,3011,2017-08-13,896722357431259140,http://twitter.com/SenTomCotton/status/896722357431259140
897566116834365443,5.605535714284098,168,85,69,21,2018-05-08_11_15_40,776,2017-08-15,897566116834365443,http://twitter.com/SenTomCotton/status/897566116834365443
892860157495037954,5.698733183884821,892,393,202,184,2018-05-08_11_32_00,2986,2017-08-02,892860157495037954,http://twitter.com/SenTomCotton/status/892860157495037954
892896741531545600,5.755571428583143,490,632,130,125,2018-05-08_11_30_33,1554,2017-08-02,892896741531545600,http://twitter.com/SenTomCotton/status/892896741531545600
892937818011574274,5.629447077432727,633,452,142,165,2018-05-08_11_29_07,2118,2017-08-02,892937818011574274,http://twitter.com/SenTomCotton/status/892937818011574274
893082586968457216,5.6790210843620885,664,175,138,29,2018-05-08_11_27_39,2198,2017-08-03,893082586968457216,http://twitter.com/SenTomCotton/status/893082586968457216
893133452215713792,6.019586206894815,290,486,74,101,2018-05-08_11_26_08,960,2017-08-03,893133452215713792,http://twitter.com/SenTomCotton/status/893133452215713792
893138219822403584,5.743066516374039,887,179,167,51,2018-05-08_11_24_37,2944,2017-08-03,893138219822403584,http://twitter.com/SenTomCotton/status/893138219822403584
892784381697437696,5.926571072342711,802,3104,402,1322,2018-05-08_11_39_29,2625,2017-08-02,892784381697437696,http://twitter.com/SenTomCotton/status/892784381697437696
892802728111611905,5.811598579059018,563,459,134,168,2018-05-08_11_38_07,1894,2017-08-02,892802728111611905,http://twitter.com/SenTomCotton/status/892802728111611905
892832359908814848,5.6587272727257565,275,350,83,129,2018-05-08_11_36_42,990,2017-08-02,892832359908814848,http://twitter.com/SenTomCotton/status/892832359908814848
892842500364304390,5.778179611648254,412,432,90,181,2018-05-08_11_35_11,1303,2017-08-02,892842500364304390,http://twitter.com/SenTomCotton/status/892842500364304390
892852834693197825,5.6207031249974095,256,208,72,84,2018-05-08_11_33_36,839,2017-08-02,892852834693197825,http://twitter.com/SenTomCotton/status/892852834693197825
889961621128450052,5.149059561124887,319,260,102,99,2018-05-08_11_46_51,1350,2017-07-25,889961621128450052,http://twitter.com/SenTomCotton/status/889961621128450052
889964792441700353,5.541296101193002,949,193,234,55,2018-05-08_11_45_26,3029,2017-07-25,889964792441700353,http://twitter.com/SenTomCotton/status/889964792441700353
890251719753555969,5.382609890134728,728,589,196,175,2018-05-08_11_43_56,3087,2017-07-26,890251719753555969,http://twitter.com/SenTomCotton/status/890251719753555969
892772572579975169,5.692525252539711,594,1464,217,364,2018-05-08_11_42_26,2090,2017-08-02,892772572579975169,http://twitter.com/SenTomCotton/status/892772572579975169
892776886237048832,5.840479338862482,605,551,146,203,2018-05-08_11_40_55,1843,2017-08-02,892776886237048832,http://twitter.com/SenTomCotton/status/892776886237048832
880167713829785600,5.54953974895259,239,212,70,39,2018-05-08_11_54_46,772,2017-06-28,880167713829785600,http://twitter.com/SenTomCotton/status/880167713829785600
