,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
990773612226412545,5.654321641245409,1511,1994,16K,1077,2018-05-01_12_39_09,6068,2018-04-29,990773612226412545,http://twitter.com/whca/status/990773612226412545
990781969914122240,5.667924528302003,53,48,13,13,2018-05-01_12_37_50,223,2018-04-28,990781969914122240,http://twitter.com/whca/status/990781969914122240
990790223469727744,5.845946745560262,338,4163,77,610,2018-05-01_12_36_30,1485,2018-04-29,990790223469727744,http://twitter.com/whca/status/990790223469727744
990971941585670145,5.642800495686838,807,146,236,55,2018-05-01_12_35_10,3037,2018-04-30,990971941585670145,http://twitter.com/whca/status/990971941585670145
990447338119487489,5.884545454545408,22,95,11,22,2018-05-01_12_53_40,64,2018-04-28,990447338119487489,http://twitter.com/whca/status/990447338119487489
990447440401784833,5.823981723260816,766,3655,192,756,2018-05-01_12_52_15,3056,2018-04-28,990447440401784833,http://twitter.com/whca/status/990447440401784833
990447626066845696,5.4104362050377945,917,3213,621,958,2018-05-01_12_50_49,3514,2018-04-28,990447626066845696,http://twitter.com/whca/status/990447626066845696
990448091080904705,5.9192727272727055,55,31,13,5,2018-05-01_12_49_28,241,2018-04-28,990448091080904705,http://twitter.com/whca/status/990448091080904705
990591737881034752,5.8279954181260125,873,2050,622,111,2018-05-01_12_47_38,2790,2018-04-29,990591737881034752,http://twitter.com/whca/status/990591737881034752
990605148694155267,5.415806451612222,124,19,19,17,2018-05-01_12_46_16,501,2018-04-29,990605148694155267,http://twitter.com/whca/status/990605148694155267
990628151716958208,5.688242320747579,1172,213,482,107,2018-05-01_12_44_48,4845,2018-04-29,990628151716958208,http://twitter.com/whca/status/990628151716958208
990628461462151168,6.008787878787923,33,84,11,24,2018-05-01_12_43_27,129,2018-04-28,990628461462151168,http://twitter.com/whca/status/990628461462151168
990184331007135744,5.778288043483069,368,453,81,127,2018-05-01_13_03_08,1594,2018-04-28,990184331007135744,http://twitter.com/whca/status/990184331007135744
990184810420326400,5.778288043483069,368,453,81,127,2018-05-01_13_01_46,1594,2018-04-28,990184810420326400,http://twitter.com/whca/status/990184810420326400
990198217605304320,5.625681818181944,44,19,10,19,2018-05-01_13_00_29,180,2018-04-28,990198217605304320,http://twitter.com/whca/status/990198217605304320
990264806044323841,5.860566037735963,53,31,12,13,2018-05-01_12_59_09,222,2018-04-28,990264806044323841,http://twitter.com/whca/status/990264806044323841
990277363954061312,5.612394366197197,71,49,18,26,2018-05-01_12_57_49,245,2018-04-28,990277363954061312,http://twitter.com/whca/status/990277363954061312
990409210365186053,5.619798149639999,1189,226,334,85,2018-05-01_12_56_22,4664,2018-04-28,990409210365186053,http://twitter.com/whca/status/990409210365186053
989945928671997953,5.907738791437273,513,266,180,61,2018-05-01_13_07_39,2003,2018-04-27,989945928671997953,http://twitter.com/whca/status/989945928671997953
989903020237475840,5.721999999999897,160,35,43,14,2018-05-01_13_11_57,668,2018-04-27,989903020237475840,http://twitter.com/whca/status/989903020237475840
987470292112039936,6.2431488549718654,524,6273,122,1451,2018-05-01_13_26_17,1539,2018-04-20,987470292112039936,http://twitter.com/whca/status/987470292112039936
986415043364491264,6.3488862698090776,1697,19311,1.1K,4763,2018-05-03_10_36_58,4088,2018-04-17,986415043364491264,http://twitter.com/whca/status/986415043364491264
986415226252857346,6.307181926216326,1682,6317,658,1305,2018-05-03_10_35_27,3992,2018-04-17,986415226252857346,http://twitter.com/whca/status/986415226252857346
986415341030051840,6.149054054053166,148,3664,32,459,2018-05-03_10_34_07,458,2018-04-17,986415341030051840,http://twitter.com/whca/status/986415341030051840
986589906876149760,6.4974542683032634,656,6146,116,1705,2018-05-03_10_32_15,1773,2018-04-17,986589906876149760,http://twitter.com/whca/status/986589906876149760
986029378587865088,6.363120204594422,391,3490,102,487,2018-05-03_10_42_14,1148,2018-04-16,986029378587865088,http://twitter.com/whca/status/986029378587865088
986053124589805568,5.883546099289616,141,1339,23,307,2018-05-03_10_40_29,550,2018-04-16,986053124589805568,http://twitter.com/whca/status/986053124589805568
986390991346323456,6.3364338781235325,1346,14064,1.1K,8424,2018-05-03_10_38_27,3673,2018-04-17,986390991346323456,http://twitter.com/whca/status/986390991346323456
