,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
990997030079262722,6.675761589404617,151,4911,90,1107,2018-05-08_12_18_29,823,2018-04-30,990997030079262722,http://twitter.com/narendramodi/status/990997030079262722
990997912929882112,6.435161290321058,124,4734,98,1042,2018-05-08_12_16_56,1087,2018-04-30,990997912929882112,http://twitter.com/narendramodi/status/990997912929882112
990998775719186432,6.746792452830747,53,5075,69,1126,2018-05-08_12_15_27,515,2018-04-30,990998775719186432,http://twitter.com/narendramodi/status/990998775719186432
990999245485375489,6.139112426038422,169,5884,94,1161,2018-05-08_12_13_56,1258,2018-04-30,990999245485375489,http://twitter.com/narendramodi/status/990999245485375489
990999923922522114,6.509285714286084,98,5027,99,1101,2018-05-08_12_12_23,986,2018-04-30,990999923922522114,http://twitter.com/narendramodi/status/990999923922522114
990995382250496002,6.486558139535402,215,5057,87,1100,2018-05-08_12_26_12,884,2018-04-30,990995382250496002,http://twitter.com/narendramodi/status/990995382250496002
990995918500614144,6.335492957745888,71,4862,63,1154,2018-05-08_12_24_37,538,2018-04-30,990995918500614144,http://twitter.com/narendramodi/status/990995918500614144
990996208058585089,7.073200000000907,50,4753,59,1055,2018-05-08_12_22_56,576,2018-04-30,990996208058585089,http://twitter.com/narendramodi/status/990996208058585089
990996667095756800,6.679000000000576,60,4354,66,994,2018-05-08_12_21_28,537,2018-04-30,990996667095756800,http://twitter.com/narendramodi/status/990996667095756800
990996776885907456,6.531063829787643,94,4603,64,1069,2018-05-08_12_20_03,676,2018-04-30,990996776885907456,http://twitter.com/narendramodi/status/990996776885907456
990992960706752514,6.849558823529012,68,4319,69,1023,2018-05-08_12_34_27,435,2018-04-30,990992960706752514,http://twitter.com/narendramodi/status/990992960706752514
990993476736208896,7.006486486485867,37,4465,64,1049,2018-05-08_12_32_58,374,2018-04-30,990993476736208896,http://twitter.com/narendramodi/status/990993476736208896
990993767799971842,6.8222222222222815,63,4766,70,1139,2018-05-08_12_31_21,567,2018-04-30,990993767799971842,http://twitter.com/narendramodi/status/990993767799971842
990994146142892033,6.7846666666665385,90,4391,70,1026,2018-05-08_12_29_45,612,2018-04-30,990994146142892033,http://twitter.com/narendramodi/status/990994146142892033
990994647953616896,6.651259259259134,135,4396,73,1000,2018-05-08_12_27_55,609,2018-04-30,990994647953616896,http://twitter.com/narendramodi/status/990994647953616896
990990874581618690,6.805783132528463,83,3404,78,921,2018-05-08_12_41_02,574,2018-04-30,990990874581618690,http://twitter.com/narendramodi/status/990990874581618690
990991210818031616,6.769066666665536,75,4484,86,982,2018-05-08_12_39_38,646,2018-04-30,990991210818031616,http://twitter.com/narendramodi/status/990991210818031616
990992137562087424,6.522318840578848,69,4616,94,1092,2018-05-08_12_37_24,617,2018-04-30,990992137562087424,http://twitter.com/narendramodi/status/990992137562087424
990992446296346626,6.387076923075738,65,5100,101,1079,2018-05-08_12_35_54,878,2018-04-30,990992446296346626,http://twitter.com/narendramodi/status/990992446296346626
