,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
914835546979147776,5.39816254420599,849,1188,223,143,2018-05-07_17_37_23,2614,2017-10-02,914835546979147776,http://twitter.com/SenBobCorker/status/914835546979147776
914893461677068290,5.235186170211216,376,722,96,132,2018-05-07_17_35_39,1238,2017-10-02,914893461677068290,http://twitter.com/SenBobCorker/status/914893461677068290
915285072626012160,5.804014814839299,675,672,168,63,2018-05-07_17_33_55,2302,2017-10-03,915285072626012160,http://twitter.com/SenBobCorker/status/915285072626012160
915950102996488192,5.532509179957263,817,1196,337,273,2018-05-07_17_31_37,2761,2017-10-05,915950102996488192,http://twitter.com/SenBobCorker/status/915950102996488192
917045348820049920,5.810397727296713,704,413153,33K,144866,2018-05-07_17_29_22,2572,2017-10-08,917045348820049920,http://twitter.com/SenBobCorker/status/917045348820049920
920817896435212288,5.8245056180282315,890,2243,221,426,2018-05-07_17_27_05,3035,2017-10-18,920817896435212288,http://twitter.com/SenBobCorker/status/920817896435212288
912774998519107586,5.817559462292771,967,1399,479,432,2018-05-07_17_45_14,3177,2017-09-26,912774998519107586,http://twitter.com/SenBobCorker/status/912774998519107586
914471177829142528,5.462018348621268,327,223,93,28,2018-05-07_17_41_46,1362,2017-10-01,914471177829142528,http://twitter.com/SenBobCorker/status/914471177829142528
914565759505977345,5.555580608829243,887,944,261,210,2018-05-07_17_39_49,3090,2017-10-01,914565759505977345,http://twitter.com/SenBobCorker/status/914565759505977345
907709809172021248,5.270858369107524,466,113,105,43,2018-05-07_17_55_27,1733,2017-09-12,907709809172021248,http://twitter.com/SenBobCorker/status/907709809172021248
909918245829914625,5.5997368420998646,380,101,77,31,2018-05-07_17_53_50,1313,2017-09-18,909918245829914625,http://twitter.com/SenBobCorker/status/909918245829914625
910574346216845315,5.644969549348088,821,128,184,39,2018-05-07_17_51_30,3038,2017-09-20,910574346216845315,http://twitter.com/SenBobCorker/status/910574346216845315
910963690798710785,5.557632093951996,511,121,118,45,2018-05-07_17_49_28,1757,2017-09-21,910963690798710785,http://twitter.com/SenBobCorker/status/910963690798710785
912015588293320706,5.392813370472288,359,544,105,174,2018-05-07_17_47_54,1217,2017-09-24,912015588293320706,http://twitter.com/SenBobCorker/status/912015588293320706
903367710477824000,5.587404844288356,289,79,78,32,2018-05-07_18_03_31,1037,2017-08-31,903367710477824000,http://twitter.com/SenBobCorker/status/903367710477824000
904358975772209152,5.659509632240776,571,155,132,47,2018-05-07_18_02_01,2103,2017-09-03,904358975772209152,http://twitter.com/SenBobCorker/status/904358975772209152
905116374254718976,5.6192606284789095,541,61,114,25,2018-05-07_18_00_27,1749,2017-09-05,905116374254718976,http://twitter.com/SenBobCorker/status/905116374254718976
905174775521214464,5.439639344271084,610,127,148,47,2018-05-07_17_58_44,1979,2017-09-05,905174775521214464,http://twitter.com/SenBobCorker/status/905174775521214464
905215899073998849,5.5449497206813705,895,149,264,55,2018-05-07_17_57_09,3306,2017-09-05,905215899073998849,http://twitter.com/SenBobCorker/status/905215899073998849
899834094749716481,5.6101426718917216,771,178,172,85,2018-05-08_10_09_21,2654,2017-08-21,899834094749716481,http://twitter.com/SenBobCorker/status/899834094749716481
900092624287260673,5.797795698927184,372,45,80,5,2018-05-08_10_07_45,1397,2017-08-22,900092624287260673,http://twitter.com/SenBobCorker/status/900092624287260673
900856950786846722,5.833676975940348,291,107,90,19,2018-05-08_10_06_15,1114,2017-08-24,900856950786846722,http://twitter.com/SenBobCorker/status/900856950786846722
900872641267060740,5.877560975643817,861,213,283,23,2018-05-08_10_04_39,3060,2017-08-24,900872641267060740,http://twitter.com/SenBobCorker/status/900872641267060740
901158034260537344,5.6379006211537765,805,172,263,78,2018-05-08_10_03_09,3021,2017-08-25,901158034260537344,http://twitter.com/SenBobCorker/status/901158034260537344
897841820385857537,5.703052884628782,416,66,111,9,2018-05-08_10_17_14,1705,2017-08-16,897841820385857537,http://twitter.com/SenBobCorker/status/897841820385857537
897884620708081664,5.712997762870911,447,88,124,12,2018-05-08_10_15_50,1681,2017-08-16,897884620708081664,http://twitter.com/SenBobCorker/status/897884620708081664
897897460135321601,5.799412516003635,783,95,437,14,2018-05-08_10_14_17,2850,2017-08-16,897897460135321601,http://twitter.com/SenBobCorker/status/897897460135321601
898313545854705669,5.5478088578434885,858,740,541,93,2018-05-08_10_12_45,3188,2017-08-17,898313545854705669,http://twitter.com/SenBobCorker/status/898313545854705669
898577545330700288,5.72151515154318,759,126,279,18,2018-05-08_10_10_57,2559,2017-08-18,898577545330700288,http://twitter.com/SenBobCorker/status/898577545330700288
893229240702967808,5.569976878640653,865,1183,851,583,2018-05-08_10_24_42,3322,2017-08-03,893229240702967808,http://twitter.com/SenBobCorker/status/893229240702967808
896014542211342337,5.608505618007077,890,112,331,31,2018-05-08_10_23_08,3175,2017-08-11,896014542211342337,http://twitter.com/SenBobCorker/status/896014542211342337
896463797522583552,5.499862258974859,726,188395,65K,56630,2018-05-08_10_21_35,2386,2017-08-12,896463797522583552,http://twitter.com/SenBobCorker/status/896463797522583552
896471471085674496,5.542954048174845,914,785,707,165,2018-05-08_10_20_05,3249,2017-08-12,896471471085674496,http://twitter.com/SenBobCorker/status/896471471085674496
897521331016790016,5.70687960688397,407,39,100,8,2018-05-08_10_18_40,1419,2017-08-15,897521331016790016,http://twitter.com/SenBobCorker/status/897521331016790016
888014816127983616,5.696441149245335,1079,132,406,69,2018-05-08_10_32_05,3821,2017-07-20,888014816127983616,http://twitter.com/SenBobCorker/status/888014816127983616
889855759739170816,5.612702205903722,544,36,103,6,2018-05-08_10_30_39,1756,2017-07-25,889855759739170816,http://twitter.com/SenBobCorker/status/889855759739170816
889960526582870017,5.688038793133731,928,130,276,33,2018-05-08_10_29_02,2966,2017-07-25,889960526582870017,http://twitter.com/SenBobCorker/status/889960526582870017
890293379434676224,5.629070548745335,893,208,521,34,2018-05-08_10_27_42,2837,2017-07-26,890293379434676224,http://twitter.com/SenBobCorker/status/890293379434676224
890827976958455809,5.613527204533516,1066,98,287,29,2018-05-08_10_26_11,3493,2017-07-27,890827976958455809,http://twitter.com/SenBobCorker/status/890827976958455809
880923320937590785,5.59603773587653,795,153,198,52,2018-05-08_10_39_32,2965,2017-06-30,880923320937590785,http://twitter.com/SenBobCorker/status/880923320937590785
884856288299110400,5.645795795828732,999,177,184,41,2018-05-08_10_38_02,3548,2017-07-11,884856288299110400,http://twitter.com/SenBobCorker/status/884856288299110400
