,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
920663981299249153,5.642473262073501,748,6566,274,2492,2018-05-02_11_41_02,2709,2017-06-13,920663981299249153,http://twitter.com/SenKamalaHarris/status/920663981299249153
920671699175124992,5.907833753155483,397,4845,126,1598,2018-05-02_11_39_39,1530,2017-10-18,920671699175124992,http://twitter.com/SenKamalaHarris/status/920671699175124992
920677944015679488,5.336720116654481,686,21997,1.1K,8067,2018-05-02_11_38_16,3207,2017-10-18,920677944015679488,http://twitter.com/SenKamalaHarris/status/920677944015679488
920753353193414657,5.6287444934022055,454,3337,124,1809,2018-05-02_11_36_47,1813,2017-10-18,920753353193414657,http://twitter.com/SenKamalaHarris/status/920753353193414657
921050034916950016,5.889300000010482,500,10877,116,2476,2018-05-02_11_35_29,1620,2017-10-19,921050034916950016,http://twitter.com/SenKamalaHarris/status/921050034916950016
921127101578797058,7.250516717333468,329,1395,115,138,2018-05-02_11_34_01,734,2017-10-19,921127101578797058,http://twitter.com/SenKamalaHarris/status/921127101578797058
919973012501336064,5.827624999997767,320,1602,71,488,2018-05-02_11_49_08,1065,2017-10-16,919973012501336064,http://twitter.com/SenKamalaHarris/status/919973012501336064
920311984087846913,5.5129559748655215,954,5329,227,3921,2018-05-02_11_47_44,3465,2017-10-17,920311984087846913,http://twitter.com/SenKamalaHarris/status/920311984087846913
920321004341219335,5.207249527447057,1058,146670,2.1K,51882,2018-05-02_11_46_12,3802,2017-10-17,920321004341219335,http://twitter.com/SenKamalaHarris/status/920321004341219335
920374859007488001,5.650452674896356,243,471,70,200,2018-05-02_11_44_35,991,2017-10-17,920374859007488001,http://twitter.com/SenKamalaHarris/status/920374859007488001
920643167556214784,5.374009360387065,641,2306,238,723,2018-05-02_11_43_06,2498,2017-10-18,920643167556214784,http://twitter.com/SenKamalaHarris/status/920643167556214784
918941058226180096,5.440023980837526,834,8737,657,3130,2018-05-02_11_55_20,3155,2017-10-13,918941058226180096,http://twitter.com/SenKamalaHarris/status/918941058226180096
919241499182804992,5.595625920493152,679,4230,165,1228,2018-05-02_11_53_25,2400,2017-10-14,919241499182804992,http://twitter.com/SenKamalaHarris/status/919241499182804992
919241857749716992,5.451383248751759,788,4309,253,1951,2018-05-02_11_51_58,2963,2017-10-14,919241857749716992,http://twitter.com/SenKamalaHarris/status/919241857749716992
919386077311459328,6.1343315507992,374,7591,75,1857,2018-05-02_11_50_33,1098,2017-10-14,919386077311459328,http://twitter.com/SenKamalaHarris/status/919386077311459328
918232751979028482,5.8222931442111845,423,1105,95,356,2018-05-02_12_02_43,1328,2017-10-11,918232751979028482,http://twitter.com/SenKamalaHarris/status/918232751979028482
918264956520419328,5.694816053510218,299,1545,84,736,2018-05-02_12_01_16,1130,2017-10-11,918264956520419328,http://twitter.com/SenKamalaHarris/status/918264956520419328
918520532764712961,5.546079881670159,676,1754,170,1138,2018-05-02_11_59_46,2608,2017-10-12,918520532764712961,http://twitter.com/SenKamalaHarris/status/918520532764712961
918561525467615232,5.369378881996098,483,6868,438,4833,2018-05-02_11_58_25,1653,2017-10-12,918561525467615232,http://twitter.com/SenKamalaHarris/status/918561525467615232
918929143965847554,5.62410901470851,954,5813,454,1935,2018-05-02_11_56_44,3531,2017-10-13,918929143965847554,http://twitter.com/SenKamalaHarris/status/918929143965847554
916360180081848320,5.798121212147424,825,3899,162,1424,2018-05-02_12_10_01,2833,2017-10-06,916360180081848320,http://twitter.com/SenKamalaHarris/status/916360180081848320
916404698487410699,5.953099041547759,626,5130,172,2430,2018-05-02_12_08_34,2345,2017-10-06,916404698487410699,http://twitter.com/SenKamalaHarris/status/916404698487410699
917503858389192704,5.54854523227673,818,2610,231,1519,2018-05-02_12_07_10,2940,2017-10-09,917503858389192704,http://twitter.com/SenKamalaHarris/status/917503858389192704
917851803126988801,5.763986636999968,898,7672,243,2091,2018-05-02_12_05_42,2951,2017-10-10,917851803126988801,http://twitter.com/SenKamalaHarris/status/917851803126988801
917864507795525632,5.726604166682622,480,1194,119,406,2018-05-02_12_04_08,1786,2017-10-10,917864507795525632,http://twitter.com/SenKamalaHarris/status/917864507795525632
916007823254933505,5.397191539386648,851,6591,281,3277,2018-05-02_12_17_39,3400,2017-10-05,916007823254933505,http://twitter.com/SenKamalaHarris/status/916007823254933505
916026204225974274,5.681926229520045,488,3939,190,2026,2018-05-02_12_16_10,2005,2017-10-05,916026204225974274,http://twitter.com/SenKamalaHarris/status/916026204225974274
916042311037018115,5.533880597028854,469,2246,116,770,2018-05-02_12_14_44,1862,2017-10-05,916042311037018115,http://twitter.com/SenKamalaHarris/status/916042311037018115
916359591784566785,5.876152968051801,876,7437,1.7K,4953,2018-05-02_12_12_58,3322,2017-10-06,916359591784566785,http://twitter.com/SenKamalaHarris/status/916359591784566785
916359989173915648,5.5876829268432235,492,701,128,504,2018-05-02_12_11_28,1766,2017-10-06,916359989173915648,http://twitter.com/SenKamalaHarris/status/916359989173915648
915349747468259328,5.695928030319136,528,2648,153,1344,2018-05-02_12_24_47,2156,2017-10-03,915349747468259328,http://twitter.com/SenKamalaHarris/status/915349747468259328
915625474994442240,5.4727207977503385,702,11430,398,3384,2018-05-02_12_23_19,2514,2017-10-04,915625474994442240,http://twitter.com/SenKamalaHarris/status/915625474994442240
915679923452379136,5.343012704190834,551,1142,107,469,2018-05-02_12_21_55,1847,2017-10-04,915679923452379136,http://twitter.com/SenKamalaHarris/status/915679923452379136
915696029026177025,5.246310272550679,477,1493,147,909,2018-05-02_12_20_28,1863,2017-10-04,915696029026177025,http://twitter.com/SenKamalaHarris/status/915696029026177025
915712134524391424,5.604169014080463,355,2500,92,804,2018-05-02_12_19_04,1144,2017-10-04,915712134524391424,http://twitter.com/SenKamalaHarris/status/915712134524391424
914824338104340486,5.256431623933484,468,3258,119,728,2018-05-02_12_31_55,1690,2017-10-02,914824338104340486,http://twitter.com/SenKamalaHarris/status/914824338104340486
914849598304395264,5.6681176470585894,340,12425,113,13819,2018-05-02_12_30_27,1183,2017-10-02,914849598304395264,http://twitter.com/SenKamalaHarris/status/914849598304395264
914898390017822720,5.115302564147165,975,2873,267,1182,2018-05-02_12_29_03,3153,2017-10-02,914898390017822720,http://twitter.com/SenKamalaHarris/status/914898390017822720
915301428591243264,5.217138728322153,346,1495,71,498,2018-05-02_12_27_41,1199,2017-10-03,915301428591243264,http://twitter.com/SenKamalaHarris/status/915301428591243264
915317535012261888,6.04756097560292,328,2151,84,708,2018-05-02_12_26_20,1181,2017-10-03,915317535012261888,http://twitter.com/SenKamalaHarris/status/915317535012261888
913779739701149702,5.491163682872504,782,13779,1.1K,13082,2018-05-02_12_39_23,2676,2017-09-28,913779739701149702,http://twitter.com/SenKamalaHarris/status/913779739701149702
913884090071437312,5.6630209790209385,715,1987,172,1752,2018-05-02_12_37_53,2468,2017-09-29,913884090071437312,http://twitter.com/SenKamalaHarris/status/913884090071437312
913900196546916353,5.563784665599076,613,1669,179,1026,2018-05-02_12_36_28,2278,2017-09-29,913900196546916353,http://twitter.com/SenKamalaHarris/status/913900196546916353
914277473189318656,5.574816955703573,519,1001,112,745,2018-05-02_12_34_59,2069,2017-09-29,914277473189318656,http://twitter.com/SenKamalaHarris/status/914277473189318656
914599508830498816,5.69641393444155,488,7393,87,7266,2018-05-02_12_33_27,1816,2017-10-01,914599508830498816,http://twitter.com/SenKamalaHarris/status/914599508830498816
