,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
989927361750614016,6.054808510648239,705,10753,231,2286,2018-05-01_10_49_06,3887,2018-04-27,989927361750614016,http://twitter.com/TheEllenShow/status/989927361750614016
989935137621082112,6.59226415094246,212,4051,110,412,2018-05-01_10_47_43,684,2018-04-27,989935137621082112,http://twitter.com/TheEllenShow/status/989935137621082112
989943050821488640,6.499040852587579,563,96233,1.6K,36955,2018-05-01_10_46_09,1906,2018-04-27,989943050821488640,http://twitter.com/TheEllenShow/status/989943050821488640
989956002421161984,6.168049999998763,200,5377,98,598,2018-05-01_10_44_42,611,2018-04-27,989956002421161984,http://twitter.com/TheEllenShow/status/989956002421161984
989970069282209792,6.511590909091513,88,1455,37,95,2018-05-01_10_43_23,299,2018-04-27,989970069282209792,http://twitter.com/TheEllenShow/status/989970069282209792
989980674919563264,6.54320754716627,318,4473,174,378,2018-05-01_10_41_59,1079,2018-04-27,989980674919563264,http://twitter.com/TheEllenShow/status/989980674919563264
990006086462726144,6.647963386738111,437,17775,393,1227,2018-05-01_10_40_22,1433,2018-04-27,990006086462726144,http://twitter.com/TheEllenShow/status/990006086462726144
990734601340370944,6.1595216906739525,899,9455,395,1178,2018-05-01_10_38_52,5134,2018-04-29,990734601340370944,http://twitter.com/TheEllenShow/status/990734601340370944
990989705121480704,5.968729729725465,370,4606,124,461,2018-05-01_10_37_30,1192,2018-04-30,990989705121480704,http://twitter.com/TheEllenShow/status/990989705121480704
989256405839368192,6.112664670657039,334,2065,92,171,2018-05-01_11_03_18,1131,2018-04-25,989256405839368192,http://twitter.com/TheEllenShow/status/989256405839368192
989538432874512384,6.209807999995884,625,32704,375,3732,2018-05-01_11_01_51,2749,2018-04-26,989538432874512384,http://twitter.com/TheEllenShow/status/989538432874512384
989556423376883712,6.558581081078754,296,2762,92,221,2018-05-01_11_00_31,916,2018-04-26,989556423376883712,http://twitter.com/TheEllenShow/status/989556423376883712
989571404180815872,7.091803030288098,660,17980,217,1824,2018-05-01_10_59_06,1488,2018-04-26,989571404180815872,http://twitter.com/TheEllenShow/status/989571404180815872
989583400875900928,6.404782608695059,138,1999,60,157,2018-05-01_10_57_38,450,2018-04-26,989583400875900928,http://twitter.com/TheEllenShow/status/989583400875900928
989598066779996160,6.646172106823555,337,3864,96,431,2018-05-01_10_56_08,925,2018-04-26,989598066779996160,http://twitter.com/TheEllenShow/status/989598066779996160
989602507662938112,6.107177914106866,163,1462,57,161,2018-05-01_10_54_45,659,2018-04-26,989602507662938112,http://twitter.com/TheEllenShow/status/989602507662938112
989621282172948481,6.4576277372266055,274,5513,116,453,2018-05-01_10_53_21,918,2018-04-26,989621282172948481,http://twitter.com/TheEllenShow/status/989621282172948481
989633489338167297,6.343781512613928,476,2015,122,143,2018-05-01_10_52_01,1583,2018-04-26,989633489338167297,http://twitter.com/TheEllenShow/status/989633489338167297
989913446010372097,5.869209726459289,658,3325,247,292,2018-05-01_10_50_35,2241,2018-04-27,989913446010372097,http://twitter.com/TheEllenShow/status/989913446010372097
988852850439540737,5.921564986741423,377,2746,106,246,2018-05-01_11_16_38,1447,2018-04-24,988852850439540737,http://twitter.com/TheEllenShow/status/988852850439540737
988860298651099137,6.667936507934242,189,6284,78,1163,2018-05-01_11_15_10,557,2018-04-24,988860298651099137,http://twitter.com/TheEllenShow/status/988860298651099137
988875843966386176,5.790456140347196,285,2373,88,152,2018-05-01_11_13_40,1512,2018-04-24,988875843966386176,http://twitter.com/TheEllenShow/status/988875843966386176
988898042358022145,5.981929181888425,819,18678,377,1455,2018-05-01_11_11_44,4469,2018-04-24,988898042358022145,http://twitter.com/TheEllenShow/status/988898042358022145
989192672408563712,6.507242798354048,243,4839,88,596,2018-05-01_11_10_14,775,2018-04-25,989192672408563712,http://twitter.com/TheEllenShow/status/989192672408563712
989205149963829253,6.544148148148447,135,3267,59,276,2018-05-01_11_08_57,423,2018-04-25,989205149963829253,http://twitter.com/TheEllenShow/status/989205149963829253
989221015187156993,6.481139240507593,237,2012,45,224,2018-05-01_11_07_35,770,2018-04-25,989221015187156993,http://twitter.com/TheEllenShow/status/989221015187156993
989230874410414080,6.400947368419048,190,1724,67,103,2018-05-01_11_06_05,629,2018-04-25,989230874410414080,http://twitter.com/TheEllenShow/status/989230874410414080
989238473633611776,6.185112540188211,311,2238,118,157,2018-05-01_11_04_41,1450,2018-04-25,989238473633611776,http://twitter.com/TheEllenShow/status/989238473633611776
988458651852550145,6.323014862004522,471,41736,165,3216,2018-05-01_11_27_53,1586,2018-04-23,988458651852550145,http://twitter.com/TheEllenShow/status/988458651852550145
988471221615448064,6.587366548042407,281,2946,79,301,2018-05-01_11_26_34,941,2018-04-23,988471221615448064,http://twitter.com/TheEllenShow/status/988471221615448064
988493601893167106,6.9487943262404475,141,4222,61,246,2018-05-01_11_25_09,363,2018-04-23,988493601893167106,http://twitter.com/TheEllenShow/status/988493601893167106
988517146962477056,6.0714049586755605,242,1684,57,176,2018-05-01_11_23_48,830,2018-04-23,988517146962477056,http://twitter.com/TheEllenShow/status/988517146962477056
988523036511907840,6.128117154822783,478,2624,98,244,2018-05-01_11_22_23,1978,2018-04-23,988523036511907840,http://twitter.com/TheEllenShow/status/988523036511907840
988541879431057408,6.572606060605898,165,1346,49,107,2018-05-01_11_20_58,498,2018-04-23,988541879431057408,http://twitter.com/TheEllenShow/status/988541879431057408
988831835017826305,5.913658536526826,820,2325,176,158,2018-05-01_11_18_32,4558,2018-04-24,988831835017826305,http://twitter.com/TheEllenShow/status/988831835017826305
987519516027441153,6.125275000000727,400,6049,131,553,2018-05-01_11_42_12,1261,2018-04-20,987519516027441153,http://twitter.com/TheEllenShow/status/987519516027441153
987807567295336448,6.5745938375311095,357,5880,133,625,2018-05-01_11_40_52,1064,2018-04-21,987807567295336448,http://twitter.com/TheEllenShow/status/987807567295336448
987819920548220928,7.163922651914167,724,30117,332,1427,2018-05-01_11_39_26,1504,2018-04-21,987819920548220928,http://twitter.com/TheEllenShow/status/987819920548220928
987874675807014912,6.489084778491581,1038,16759,394,1984,2018-05-01_11_37_57,2884,2018-04-21,987874675807014912,http://twitter.com/TheEllenShow/status/987874675807014912
988102457724092416,6.527965860622383,703,19295,334,2192,2018-05-01_11_36_29,1866,2018-04-22,988102457724092416,http://twitter.com/TheEllenShow/status/988102457724092416
988133088436805632,6.676539923954783,263,7005,100,1050,2018-05-01_11_35_02,840,2018-04-22,988133088436805632,http://twitter.com/TheEllenShow/status/988133088436805632
988144692951896064,6.489546027759463,793,129878,574,8251,2018-05-01_11_33_35,2386,2018-04-22,988144692951896064,http://twitter.com/TheEllenShow/status/988144692951896064
988205167462907904,6.314532374104817,417,3189,136,158,2018-05-01_11_32_15,1314,2018-04-22,988205167462907904,http://twitter.com/TheEllenShow/status/988205167462907904
988250593704607744,6.558972222218835,360,6248,149,1076,2018-05-01_11_30_48,996,2018-04-22,988250593704607744,http://twitter.com/TheEllenShow/status/988250593704607744
988433502386323456,5.975971563973942,844,10199,231,2671,2018-05-01_11_29_19,4582,2018-04-23,988433502386323456,http://twitter.com/TheEllenShow/status/988433502386323456
987139078578569216,6.064403669723231,218,8315,116,781,2018-05-01_11_56_44,650,2018-04-19,987139078578569216,http://twitter.com/TheEllenShow/status/987139078578569216
987148328684077056,6.194977375564382,221,1655,61,123,2018-05-01_11_55_18,746,2018-04-19,987148328684077056,http://twitter.com/TheEllenShow/status/987148328684077056
987375933794349056,5.776283924858803,479,2781,92,204,2018-05-01_11_53_40,1700,2018-04-20,987375933794349056,http://twitter.com/TheEllenShow/status/987375933794349056
987394414044524544,6.111562500000441,128,2508,39,226,2018-05-01_11_52_19,418,2018-04-20,987394414044524544,http://twitter.com/TheEllenShow/status/987394414044524544
987403462454333440,6.277765957446912,94,1461,43,82,2018-05-01_11_50_55,309,2018-04-20,987403462454333440,http://twitter.com/TheEllenShow/status/987403462454333440
987412813801930753,6.5254964538996525,282,2037,82,167,2018-05-01_11_49_23,885,2018-04-20,987412813801930753,http://twitter.com/TheEllenShow/status/987412813801930753
987428896013352960,6.310734824279113,313,3772,115,491,2018-05-01_11_48_00,933,2018-04-20,987428896013352960,http://twitter.com/TheEllenShow/status/987428896013352960
987442632581304320,6.329735682823806,454,6872,132,666,2018-05-01_11_46_34,1390,2018-04-20,987442632581304320,http://twitter.com/TheEllenShow/status/987442632581304320
987450875151990785,6.479149425289263,435,40226,393,7181,2018-05-01_11_45_11,1294,2018-04-20,987450875151990785,http://twitter.com/TheEllenShow/status/987450875151990785
987463490754392064,6.276226415101184,689,5549,180,1200,2018-05-01_11_43_39,3032,2018-04-20,987463490754392064,http://twitter.com/TheEllenShow/status/987463490754392064
