,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
918524296842104833,5.445521885540692,594,2020,155,662,2018-05-07_17_33_23,2247,2017-10-12,918524296842104833,http://twitter.com/PattyMurray/status/918524296842104833
918850667074277377,5.567954071003766,479,986,120,427,2018-05-07_17_31_29,1893,2017-10-13,918850667074277377,http://twitter.com/PattyMurray/status/918850667074277377
919973035121274880,5.577091633481056,502,438,88,160,2018-05-07_17_29_36,1872,2017-10-16,919973035121274880,http://twitter.com/PattyMurray/status/919973035121274880
920019771177033731,5.8594674556341895,676,877,110,317,2018-05-07_17_27_27,2287,2017-10-16,920019771177033731,http://twitter.com/PattyMurray/status/920019771177033731
920366045998800896,6.2016938519898765,797,4906,361,1578,2018-05-07_17_25_34,2582,2017-10-17,920366045998800896,http://twitter.com/PattyMurray/status/920366045998800896
920410376252125185,6.021126760561613,284,489,69,181,2018-05-07_17_23_43,958,2017-10-17,920410376252125185,http://twitter.com/PattyMurray/status/920410376252125185
916397660810002432,5.744549549564392,444,845,80,325,2018-05-07_17_44_15,1650,2017-10-06,916397660810002432,http://twitter.com/PattyMurray/status/916397660810002432
916684228674375680,5.547366771177711,638,1498,138,494,2018-05-07_17_42_21,2332,2017-10-07,916684228674375680,http://twitter.com/PattyMurray/status/916684228674375680
916711145775489024,5.573557692325593,624,1498,138,494,2018-05-07_17_40_24,2291,2017-10-07,916711145775489024,http://twitter.com/PattyMurray/status/916711145775489024
917530347960750080,5.763144758742621,601,772,136,379,2018-05-07_17_38_42,2184,2017-10-09,917530347960750080,http://twitter.com/PattyMurray/status/917530347960750080
917818764598448128,5.862242744063739,379,1484,71,429,2018-05-07_17_37_02,1220,2017-10-10,917818764598448128,http://twitter.com/PattyMurray/status/917818764598448128
918513593812791296,5.440784753375313,446,472,100,456,2018-05-07_17_35_15,1648,2017-10-12,918513593812791296,http://twitter.com/PattyMurray/status/918513593812791296
915342192234901504,5.610072595287177,551,1548,127,496,2018-05-07_17_55_16,1629,2017-10-03,915342192234901504,http://twitter.com/PattyMurray/status/915342192234901504
915706870786088961,5.8160283687915815,282,588,74,201,2018-05-07_17_53_24,1178,2017-10-04,915706870786088961,http://twitter.com/PattyMurray/status/915706870786088961
916103210435145730,5.112452316076559,367,805,70,877,2018-05-07_17_51_20,1257,2017-10-05,916103210435145730,http://twitter.com/PattyMurray/status/916103210435145730
916115295747629056,5.6720224719216015,445,1574,128,667,2018-05-07_17_49_40,1606,2017-10-05,916115295747629056,http://twitter.com/PattyMurray/status/916115295747629056
916310831008169984,5.368417910447836,335,323,79,94,2018-05-07_17_48_02,1164,2017-10-06,916310831008169984,http://twitter.com/PattyMurray/status/916310831008169984
916347654673719306,5.687889060118897,649,1642,143,590,2018-05-07_17_46_09,2184,2017-10-06,916347654673719306,http://twitter.com/PattyMurray/status/916347654673719306
913067806303891457,5.65545454545852,462,1182,84,236,2018-05-07_18_03_40,1450,2017-09-27,913067806303891457,http://twitter.com/PattyMurray/status/913067806303891457
913133429599948801,5.577825311962278,561,703,96,343,2018-05-07_18_02_06,1816,2017-09-27,913133429599948801,http://twitter.com/PattyMurray/status/913133429599948801
915304126313111552,5.663620253167576,395,1314,80,400,2018-05-07_17_59_29,1398,2017-10-03,915304126313111552,http://twitter.com/PattyMurray/status/915304126313111552
