,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
920831069242392578,5.425333969463006,1048,4566,545,2161,2018-05-01_17_12_41,3459,2017-10-18,920831069242392578,http://twitter.com/SenTedCruz/status/920831069242392578
920837787678642176,5.1990040377071765,743,961,192,415,2018-05-01_17_11_13,2528,2017-10-18,920837787678642176,http://twitter.com/SenTedCruz/status/920837787678642176
920840230676172807,5.343854875290593,441,375,82,137,2018-05-01_17_09_46,1511,2017-10-18,920840230676172807,http://twitter.com/SenTedCruz/status/920840230676172807
921036496806797312,5.321326860839867,309,680,83,237,2018-05-01_17_08_21,1292,2017-10-19,921036496806797312,http://twitter.com/SenTedCruz/status/921036496806797312
921071645103673344,5.685756457562728,271,855,86,467,2018-05-01_17_06_48,1009,2017-10-19,921071645103673344,http://twitter.com/SenTedCruz/status/921071645103673344
921199972409905152,5.48710963457354,602,1450,146,347,2018-05-01_17_05_23,1923,2017-10-19,921199972409905152,http://twitter.com/SenTedCruz/status/921199972409905152
920718791201492996,5.481148197605889,749,2793,451,858,2018-05-01_17_21_10,3013,2017-10-18,920718791201492996,http://twitter.com/SenTedCruz/status/920718791201492996
920766458770149376,5.615783972121637,287,291,93,96,2018-05-01_17_19_47,1116,2017-10-18,920766458770149376,http://twitter.com/SenTedCruz/status/920766458770149376
920809640388050945,5.491494252872019,261,275,94,84,2018-05-01_17_18_23,983,2017-10-18,920809640388050945,http://twitter.com/SenTedCruz/status/920809640388050945
920821137076097025,5.288622366308077,617,771,413,205,2018-05-01_17_16_55,2159,2017-10-18,920821137076097025,http://twitter.com/SenTedCruz/status/920821137076097025
920822600418385920,5.359401197614312,501,1158,124,446,2018-05-01_17_15_33,1646,2017-10-18,920822600418385920,http://twitter.com/SenTedCruz/status/920822600418385920
920827409582129152,5.319316546761493,278,667,84,355,2018-05-01_17_14_07,1051,2017-10-18,920827409582129152,http://twitter.com/SenTedCruz/status/920827409582129152
918552626832269313,5.667823529409628,340,1414,89,521,2018-05-01_17_29_51,1361,2017-10-12,918552626832269313,http://twitter.com/SenTedCruz/status/918552626832269313
918632606094319616,5.441342975224358,484,568,116,174,2018-05-01_17_28_28,1748,2017-10-12,918632606094319616,http://twitter.com/SenTedCruz/status/918632606094319616
918845562912432129,5.299712746869757,557,433,90,111,2018-05-01_17_27_02,1902,2017-10-13,918845562912432129,http://twitter.com/SenTedCruz/status/918845562912432129
918866807787786240,5.233312302837604,317,335,73,120,2018-05-01_17_25_37,1067,2017-10-13,918866807787786240,http://twitter.com/SenTedCruz/status/918866807787786240
918911550446014467,5.611437908496177,306,878,80,282,2018-05-01_17_24_08,1088,2017-10-13,918911550446014467,http://twitter.com/SenTedCruz/status/918911550446014467
918946473265463297,5.763286713286357,286,631,84,129,2018-05-01_17_22_41,1064,2017-10-13,918946473265463297,http://twitter.com/SenTedCruz/status/918946473265463297
915589157442981889,5.455393654545336,851,1368,170,365,2018-05-01_17_37_06,2753,2017-10-04,915589157442981889,http://twitter.com/SenTedCruz/status/915589157442981889
916391131453231104,5.694978292361951,691,867,131,220,2018-05-01_17_35_37,2448,2017-10-06,916391131453231104,http://twitter.com/SenTedCruz/status/916391131453231104
917599083094839296,5.656331811274158,657,8290,156,5807,2018-05-01_17_34_12,1954,2017-10-09,917599083094839296,http://twitter.com/SenTedCruz/status/917599083094839296
917825929547780099,5.8519959473499785,987,2383,245,479,2018-05-01_17_32_43,2919,2017-10-10,917825929547780099,http://twitter.com/SenTedCruz/status/917825929547780099
918158280547012613,5.742336956533578,552,521,108,223,2018-05-01_17_31_15,1653,2017-10-11,918158280547012613,http://twitter.com/SenTedCruz/status/918158280547012613
912778284697604101,5.4031929824533735,285,184,72,75,2018-05-01_17_44_22,1017,2017-09-26,912778284697604101,http://twitter.com/SenTedCruz/status/912778284697604101
913044184457719812,5.374006116204172,327,185,73,86,2018-05-01_17_42_59,1094,2017-09-27,913044184457719812,http://twitter.com/SenTedCruz/status/913044184457719812
913197807556849665,5.608473684214972,380,627,105,133,2018-05-01_17_41_32,1425,2017-09-27,913197807556849665,http://twitter.com/SenTedCruz/status/913197807556849665
913792307614318592,5.575569948206285,772,812,143,312,2018-05-01_17_40_01,2602,2017-09-29,913792307614318592,http://twitter.com/SenTedCruz/status/913792307614318592
913946118001713152,5.48353474320192,331,776,84,275,2018-05-01_17_38_37,1261,2017-09-29,913946118001713152,http://twitter.com/SenTedCruz/status/913946118001713152
910900908657176576,5.571712962962216,216,204,95,57,2018-05-01_17_51_29,920,2017-09-21,910900908657176576,http://twitter.com/SenTedCruz/status/910900908657176576
910910436828225547,5.584999999999387,298,142,104,42,2018-05-01_17_49_58,1129,2017-09-21,910910436828225547,http://twitter.com/SenTedCruz/status/910910436828225547
911014051618140160,5.638290598289888,234,293,75,73,2018-05-01_17_48_34,909,2017-09-21,911014051618140160,http://twitter.com/SenTedCruz/status/911014051618140160
911967226688950272,5.575982241979481,901,371,209,116,2018-05-01_17_47_13,3152,2017-09-24,911967226688950272,http://twitter.com/SenTedCruz/status/911967226688950272
912686187168583680,5.3943799772734105,879,442,216,159,2018-05-01_17_45_48,2800,2017-09-26,912686187168583680,http://twitter.com/SenTedCruz/status/912686187168583680
909441163962306562,5.881360000000599,375,1128,96,455,2018-05-01_17_58_28,1335,2017-09-17,909441163962306562,http://twitter.com/SenTedCruz/status/909441163962306562
909787670880178176,6.556892561972108,605,15086,579,5963,2018-05-01_17_56_59,1539,2017-09-18,909787670880178176,http://twitter.com/SenTedCruz/status/909787670880178176
910195459364413445,5.201114754093797,305,393,82,118,2018-05-01_17_55_40,993,2017-09-19,910195459364413445,http://twitter.com/SenTedCruz/status/910195459364413445
910220408619716609,5.88869565217224,299,2080,82,633,2018-05-01_17_54_20,1009,2017-09-18,910220408619716609,http://twitter.com/SenTedCruz/status/910220408619716609
910248949302341632,5.649081632651893,294,1025,78,218,2018-05-01_17_52_59,1157,2017-09-19,910248949302341632,http://twitter.com/SenTedCruz/status/910248949302341632
