,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
910945808727625728,5.690090702954558,441,500,77,244,2018-05-04_08_32_14,1519,2017-09-21,910945808727625728,http://twitter.com/SenBennetCO/status/910945808727625728
912381777477554176,5.868491879347572,431,2393,116,720,2018-05-04_08_30_48,1379,2017-09-25,912381777477554176,http://twitter.com/SenBennetCO/status/912381777477554176
915282983631904769,5.660551558757512,417,616,80,204,2018-05-04_08_29_26,1524,2017-10-03,915282983631904769,http://twitter.com/SenBennetCO/status/915282983631904769
916044874901868544,5.3452325581737234,688,588,101,153,2018-05-04_08_27_57,2335,2017-10-05,916044874901868544,http://twitter.com/SenBennetCO/status/916044874901868544
918678225211068421,5.4892222222265685,450,427,79,172,2018-05-04_08_26_34,1661,2017-10-12,918678225211068421,http://twitter.com/SenBennetCO/status/918678225211068421
920724103065210880,5.6471296296255336,324,2301,89,747,2018-05-04_08_25_06,1138,2017-10-18,920724103065210880,http://twitter.com/SenBennetCO/status/920724103065210880
901270387568267264,5.638163265303649,294,1105,78,399,2018-05-04_08_39_23,1241,2017-08-25,901270387568267264,http://twitter.com/SenBennetCO/status/901270387568267264
903335131745746945,5.383787878785492,264,734,67,312,2018-05-04_08_37_57,962,2017-08-31,903335131745746945,http://twitter.com/SenBennetCO/status/903335131745746945
905091810317492224,5.610158730159983,378,586,85,262,2018-05-04_08_36_32,1406,2017-09-05,905091810317492224,http://twitter.com/SenBennetCO/status/905091810317492224
906600468067078144,5.708526970967068,482,727,80,165,2018-05-04_08_35_10,1666,2017-09-09,906600468067078144,http://twitter.com/SenBennetCO/status/906600468067078144
910526144285470721,5.4987931034467445,348,421,77,425,2018-05-04_08_33_38,1154,2017-09-20,910526144285470721,http://twitter.com/SenBennetCO/status/910526144285470721
890954328994983937,6.1087179487267615,546,1104,125,122,2018-05-04_08_46_29,1619,2017-07-28,890954328994983937,http://twitter.com/SenBennetCO/status/890954328994983937
891711071576354817,5.821056701035558,388,932,82,219,2018-05-04_08_45_02,1486,2017-07-30,891711071576354817,http://twitter.com/SenBennetCO/status/891711071576354817
896484389244329984,5.398681948421929,349,1803,112,615,2018-05-04_08_43_42,1330,2017-08-12,896484389244329984,http://twitter.com/SenBennetCO/status/896484389244329984
897919788499951616,5.421928838970842,534,398,121,97,2018-05-04_08_42_16,1945,2017-08-16,897919788499951616,http://twitter.com/SenBennetCO/status/897919788499951616
898660629799739393,5.7091044776107625,268,560,73,128,2018-05-04_08_40_48,1058,2017-08-18,898660629799739393,http://twitter.com/SenBennetCO/status/898660629799739393
890040503886127106,5.8876020408297,588,1059,134,143,2018-05-04_08_53_36,1635,2017-07-25,890040503886127106,http://twitter.com/SenBennetCO/status/890040503886127106
890323011668246532,6.2386062717779325,287,803,82,108,2018-05-04_08_52_07,784,2017-07-26,890323011668246532,http://twitter.com/SenBennetCO/status/890323011668246532
890337917624872960,5.779973474795287,377,582,86,239,2018-05-04_08_50_40,1232,2017-07-26,890337917624872960,http://twitter.com/SenBennetCO/status/890337917624872960
890669410238816256,5.931972789113808,294,924,89,324,2018-05-04_08_49_13,983,2017-07-27,890669410238816256,http://twitter.com/SenBennetCO/status/890669410238816256
890813027519406080,6.140887918519502,687,1020,163,193,2018-05-04_08_47_48,1932,2017-07-27,890813027519406080,http://twitter.com/SenBennetCO/status/890813027519406080
879413741854625797,5.9713245033124815,302,532,84,110,2018-05-04_09_00_33,872,2017-06-26,879413741854625797,http://twitter.com/SenBennetCO/status/879413741854625797
879533633970855936,5.853530997294983,371,1485,94,585,2018-05-04_08_59_06,1330,2017-06-26,879533633970855936,http://twitter.com/SenBennetCO/status/879533633970855936
879822815213629440,5.603248638848964,551,710,120,252,2018-05-04_08_57_42,1825,2017-06-27,879822815213629440,http://twitter.com/SenBennetCO/status/879822815213629440
889933235664429056,5.617939393936826,330,631,75,203,2018-05-04_08_56_20,1165,2017-07-25,889933235664429056,http://twitter.com/SenBennetCO/status/889933235664429056
890001083321511936,5.763529411759263,391,715,81,250,2018-05-04_08_54_58,1301,2017-07-25,890001083321511936,http://twitter.com/SenBennetCO/status/890001083321511936
