,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
989483939818606593,5.8616243655096945,591,730,130,95,2018-05-01_10_46_51,2008,2018-04-26,989483939818606593,http://twitter.com/StephenAtHome/status/989483939818606593
989698165199835137,5.797376681635388,446,46477,593,7018,2018-05-01_10_45_19,1827,2018-04-26,989698165199835137,http://twitter.com/StephenAtHome/status/989698165199835137
989839764668014592,5.878344051468631,622,1890,156,292,2018-05-01_10_43_50,2422,2018-04-27,989839764668014592,http://twitter.com/StephenAtHome/status/989839764668014592
989997410112933889,6.241935483870716,124,552,52,98,2018-05-01_10_42_24,423,2018-04-26,989997410112933889,http://twitter.com/StephenAtHome/status/989997410112933889
990000474525970432,5.986428571449416,546,4256,234,430,2018-05-01_10_40_54,2316,2018-04-27,990000474525970432,http://twitter.com/StephenAtHome/status/990000474525970432
990041035517591552,6.232808349167456,527,34862,1.2K,1463,2018-05-01_10_39_28,1714,2018-04-27,990041035517591552,http://twitter.com/StephenAtHome/status/990041035517591552
990071571988537345,5.644541832689874,753,58092,817,6277,2018-05-01_10_37_58,2814,2018-04-27,990071571988537345,http://twitter.com/StephenAtHome/status/990071571988537345
990286499366277120,6.004306784660021,339,2546,78,214,2018-05-01_10_36_10,1199,2018-04-28,990286499366277120,http://twitter.com/StephenAtHome/status/990286499366277120
986451374975135744,6.306111111158178,954,10725,525,2764,2018-05-01_11_00_46,3580,2018-04-17,986451374975135744,http://twitter.com/StephenAtHome/status/986451374975135744
986583162213011456,5.938554913293383,173,711,74,97,2018-05-01_10_59_20,671,2018-04-18,986583162213011456,http://twitter.com/StephenAtHome/status/986583162213011456
986943117344624640,5.7066004962893615,403,1170,100,109,2018-05-01_10_57_53,1557,2018-04-19,986943117344624640,http://twitter.com/StephenAtHome/status/986943117344624640
988579337380204544,5.940049382717648,405,21726,236,1129,2018-05-01_10_56_28,1386,2018-04-23,988579337380204544,http://twitter.com/StephenAtHome/status/988579337380204544
988599756602699777,5.7413859275194365,469,2239,126,249,2018-05-01_10_55_02,1724,2018-04-23,988599756602699777,http://twitter.com/StephenAtHome/status/988599756602699777
988748922377129985,5.780801576880753,761,1790,232,267,2018-05-01_10_53_31,2798,2018-04-24,988748922377129985,http://twitter.com/StephenAtHome/status/988748922377129985
988968940188700672,5.365681818198241,572,22490,471,3156,2018-05-01_10_52_01,2058,2018-04-24,988968940188700672,http://twitter.com/StephenAtHome/status/988968940188700672
988983725672271873,5.893883495142888,206,1005,47,49,2018-05-01_10_50_42,808,2018-04-24,988983725672271873,http://twitter.com/StephenAtHome/status/988983725672271873
989116779761938435,5.9879194630867465,149,619,55,90,2018-05-01_10_49_15,546,2018-04-25,989116779761938435,http://twitter.com/StephenAtHome/status/989116779761938435
986037887258038273,5.86259052924761,359,31238,576,10852,2018-05-01_11_13_58,1437,2018-04-16,986037887258038273,http://twitter.com/StephenAtHome/status/986037887258038273
986041845594705920,5.723038922172575,668,20883,216,1884,2018-05-01_11_12_30,2735,2018-04-16,986041845594705920,http://twitter.com/StephenAtHome/status/986041845594705920
986055120436842496,5.697233400406482,994,113494,1.6K,24143,2018-05-01_11_11_04,4154,2018-04-16,986055120436842496,http://twitter.com/StephenAtHome/status/986055120436842496
986073762968866816,5.85552147240753,489,14419,298,1278,2018-05-01_11_09_39,2338,2018-04-16,986073762968866816,http://twitter.com/StephenAtHome/status/986073762968866816
986213117075050497,5.689124999998929,160,1504,59,203,2018-05-01_11_08_18,598,2018-04-17,986213117075050497,http://twitter.com/StephenAtHome/status/986213117075050497
986215804889952257,6.229782608696244,92,1177,32,75,2018-05-01_11_06_56,308,2018-04-17,986215804889952257,http://twitter.com/StephenAtHome/status/986215804889952257
986417309051965440,6.109333333341677,360,5611,448,427,2018-05-01_11_05_29,1499,2018-04-17,986417309051965440,http://twitter.com/StephenAtHome/status/986417309051965440
986423282558742528,5.966888361058251,421,9177,201,1177,2018-05-01_11_04_02,1703,2018-04-17,986423282558742528,http://twitter.com/StephenAtHome/status/986423282558742528
986438070177337344,5.8888247422909625,485,4885,221,703,2018-05-01_11_02_11,2033,2018-04-17,986438070177337344,http://twitter.com/StephenAtHome/status/986438070177337344
984241070195249152,5.7482123894036254,565,18534,266,2594,2018-05-01_11_28_35,2353,2018-04-11,984241070195249152,http://twitter.com/StephenAtHome/status/984241070195249152
984252845301039104,5.797227414325051,321,1433,69,205,2018-05-01_11_27_13,1147,2018-04-11,984252845301039104,http://twitter.com/StephenAtHome/status/984252845301039104
984396579351252993,5.891994134895174,341,1926,140,296,2018-05-01_11_25_51,1187,2018-04-12,984396579351252993,http://twitter.com/StephenAtHome/status/984396579351252993
984607683998375936,5.789669421484541,242,4100,82,538,2018-05-01_11_24_25,938,2018-04-12,984607683998375936,http://twitter.com/StephenAtHome/status/984607683998375936
984623879422390272,5.8171644042373405,663,5429,195,651,2018-05-01_11_22_58,2634,2018-04-12,984623879422390272,http://twitter.com/StephenAtHome/status/984623879422390272
984631557892788225,5.958928571446853,560,49094,773,7878,2018-05-01_11_21_32,1919,2018-04-12,984631557892788225,http://twitter.com/StephenAtHome/status/984631557892788225
984767486515122176,6.1126851851848265,108,933,37,144,2018-05-01_11_20_02,401,2018-04-13,984767486515122176,http://twitter.com/StephenAtHome/status/984767486515122176
984809441542443009,6.052142857163168,672,38547,799,2766,2018-05-01_11_18_31,2343,2018-04-13,984809441542443009,http://twitter.com/StephenAtHome/status/984809441542443009
984825486160384003,5.681507936536679,504,68259,20K,62823,2018-05-01_11_17_02,1907,2016-11-03,984825486160384003,http://twitter.com/StephenAtHome/status/984825486160384003
985961096195575809,5.8581707317297225,492,41911,944,4080,2018-05-01_11_15_27,2048,2018-04-16,985961096195575809,http://twitter.com/StephenAtHome/status/985961096195575809
983333095159017472,5.9088713910892645,381,1912,265,302,2018-05-01_11_41_56,1840,2018-04-09,983333095159017472,http://twitter.com/StephenAtHome/status/983333095159017472
983530936661880832,5.555231316729008,562,24705,702,3783,2018-05-01_11_40_23,2481,2018-04-09,983530936661880832,http://twitter.com/StephenAtHome/status/983530936661880832
983671200600686592,5.953398058250787,206,1222,73,145,2018-05-01_11_38_58,657,2018-04-10,983671200600686592,http://twitter.com/StephenAtHome/status/983671200600686592
983874810370510849,5.9317081260600775,603,85698,781,13303,2018-05-01_11_37_32,2517,2018-04-10,983874810370510849,http://twitter.com/StephenAtHome/status/983874810370510849
983896353117016064,5.716115702478595,363,11305,96,1382,2018-05-01_11_36_10,1396,2018-04-10,983896353117016064,http://twitter.com/StephenAtHome/status/983896353117016064
984036262922391552,5.705507246376481,138,1194,49,153,2018-05-01_11_34_48,561,2018-04-11,984036262922391552,http://twitter.com/StephenAtHome/status/984036262922391552
