,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
919921153036218368,5.829187096800113,775,627,289,374,2018-05-03_10_24_56,2926,2017-10-16,919921153036218368,http://twitter.com/SenRubioPress/status/919921153036218368
919921183751069699,5.565909752577388,687,950,195,1132,2018-05-03_10_23_28,3096,2017-10-16,919921183751069699,http://twitter.com/SenRubioPress/status/919921183751069699
920377220828459009,5.861401869156108,214,1750,361,1183,2018-05-03_10_22_01,967,2017-10-17,920377220828459009,http://twitter.com/SenRubioPress/status/920377220828459009
920398461345902597,5.394744027312808,879,389,2.1K,194,2018-05-03_10_20_34,3168,2017-10-17,920398461345902597,http://twitter.com/SenRubioPress/status/920398461345902597
920734723562983424,5.4151253133054125,798,904,287,236,2018-05-03_10_19_10,2541,2017-10-18,920734723562983424,http://twitter.com/SenRubioPress/status/920734723562983424
918129208920035334,5.517740259746301,385,536,123,200,2018-05-03_10_30_06,1613,2017-10-11,918129208920035334,http://twitter.com/SenRubioPress/status/918129208920035334
918129220471218176,5.66907407409471,486,723,152,234,2018-05-03_10_28_44,1841,2017-10-11,918129220471218176,http://twitter.com/SenRubioPress/status/918129220471218176
918856839055462401,5.618453333330716,375,635,93,214,2018-05-03_10_26_53,1428,2017-10-13,918856839055462401,http://twitter.com/SenRubioPress/status/918856839055462401
916697156635029505,5.8675812274361645,277,809,75,270,2018-05-03_10_36_59,961,2017-10-07,916697156635029505,http://twitter.com/SenRubioPress/status/916697156635029505
917169627796590592,5.5621190893345664,571,946,153,342,2018-05-03_10_35_39,2354,2017-10-08,917169627796590592,http://twitter.com/SenRubioPress/status/917169627796590592
917807716286062592,5.374718875521897,498,523,193,201,2018-05-03_10_34_14,2146,2017-10-10,917807716286062592,http://twitter.com/SenRubioPress/status/917807716286062592
917807786351874048,5.7159662921622845,890,996,240,270,2018-05-03_10_32_52,3200,2017-10-09,917807786351874048,http://twitter.com/SenRubioPress/status/917807786351874048
917807835592953856,5.293018480497984,487,782,151,395,2018-05-03_10_31_27,1874,2017-10-09,917807835592953856,http://twitter.com/SenRubioPress/status/917807835592953856
915173138664747008,5.633460365878612,656,2121,144,575,2018-05-03_10_43_54,2199,2017-10-03,915173138664747008,http://twitter.com/SenRubioPress/status/915173138664747008
916000531201609729,5.291781249998686,320,544,95,208,2018-05-03_10_42_28,1220,2017-10-05,916000531201609729,http://twitter.com/SenRubioPress/status/916000531201609729
916060273412370433,5.629465875405575,674,1939,213,1397,2018-05-03_10_41_04,2641,2017-10-05,916060273412370433,http://twitter.com/SenRubioPress/status/916060273412370433
916060298452357123,5.50545584047979,702,440,125,123,2018-05-03_10_39_45,2186,2017-10-05,916060298452357123,http://twitter.com/SenRubioPress/status/916060298452357123
916060351942324224,5.806690997583147,822,2889,500,1167,2018-05-03_10_38_22,2938,2017-10-05,916060351942324224,http://twitter.com/SenRubioPress/status/916060351942324224
913881427636363265,5.6456060606252025,462,697,126,274,2018-05-03_10_50_01,1985,2017-09-29,913881427636363265,http://twitter.com/SenRubioPress/status/913881427636363265
913884663147630592,5.456727898993624,871,2341,642,1209,2018-05-03_10_48_42,3655,2017-09-29,913884663147630592,http://twitter.com/SenRubioPress/status/913884663147630592
914821452091797504,5.25146516398454,976,4561,1.8K,878,2018-05-03_10_46_47,2949,2017-10-02,914821452091797504,http://twitter.com/SenRubioPress/status/914821452091797504
915173130733330434,5.390987415306814,1033,425,387,112,2018-05-03_10_45_19,3065,2017-10-03,915173130733330434,http://twitter.com/SenRubioPress/status/915173130733330434
913789953703804929,5.5454155495949315,373,1207,185,436,2018-05-03_10_56_05,1313,2017-09-28,913789953703804929,http://twitter.com/SenRubioPress/status/913789953703804929
913857578903506944,5.519700000020837,600,654,163,311,2018-05-03_10_54_13,2282,2017-09-29,913857578903506944,http://twitter.com/SenRubioPress/status/913857578903506944
913857589762514946,5.6274591058051415,917,988,211,565,2018-05-03_10_52_51,3875,2017-09-29,913857589762514946,http://twitter.com/SenRubioPress/status/913857589762514946
913857600239874049,5.62796536798361,462,530,121,494,2018-05-03_10_51_27,1709,2017-09-29,913857600239874049,http://twitter.com/SenRubioPress/status/913857600239874049
912708273127804929,5.655817490518124,789,1039,297,437,2018-05-03_11_02_02,3145,2017-09-26,912708273127804929,http://twitter.com/SenRubioPress/status/912708273127804929
913124207172694017,5.8685813148767565,289,739,77,169,2018-05-03_11_00_41,1060,2017-09-27,913124207172694017,http://twitter.com/SenRubioPress/status/913124207172694017
913170661480296448,5.673382663871273,946,701,203,493,2018-05-03_10_59_17,3668,2017-09-27,913170661480296448,http://twitter.com/SenRubioPress/status/913170661480296448
913201422338002946,5.720681198934143,734,861,166,204,2018-05-03_10_57_29,2265,2017-09-27,913201422338002946,http://twitter.com/SenRubioPress/status/913201422338002946
910965966485454848,6.491637055866972,788,8714,196,1245,2018-05-03_11_07_58,2174,2017-09-21,910965966485454848,http://twitter.com/SenRubioPress/status/910965966485454848
912330942303358977,5.926222509738728,773,1848,204,506,2018-05-03_11_06_35,2700,2017-09-25,912330942303358977,http://twitter.com/SenRubioPress/status/912330942303358977
912381374119731200,5.907514450908687,692,2728,398,765,2018-05-03_11_04_49,2416,2017-09-25,912381374119731200,http://twitter.com/SenRubioPress/status/912381374119731200
912435673076027393,5.809939320415063,824,14998,2.0K,6292,2018-05-03_11_03_25,3267,2017-09-25,912435673076027393,http://twitter.com/SenRubioPress/status/912435673076027393
908074763595259904,5.585389610398847,462,958,121,275,2018-05-03_11_14_02,1525,2017-09-13,908074763595259904,http://twitter.com/SenRubioPress/status/908074763595259904
908441629132025856,5.902035714283872,280,1011,80,276,2018-05-03_11_12_37,949,2017-09-14,908441629132025856,http://twitter.com/SenRubioPress/status/908441629132025856
908728866969137152,5.773103448275895,145,787,136,158,2018-05-03_11_11_18,540,2017-09-15,908728866969137152,http://twitter.com/SenRubioPress/status/908728866969137152
910603239493701632,5.473977272725833,264,138,91,43,2018-05-03_11_09_24,864,2017-09-20,910603239493701632,http://twitter.com/SenRubioPress/status/910603239493701632
905211526738563072,5.738429003046054,662,1477,169,2226,2018-05-03_11_21_05,2358,2017-09-05,905211526738563072,http://twitter.com/SenRubioPress/status/905211526738563072
905497775550410755,5.858707964624128,565,2173,257,483,2018-05-03_11_19_41,2159,2017-09-06,905497775550410755,http://twitter.com/SenRubioPress/status/905497775550410755
906242104476803072,5.830505902212019,593,9399,220,12857,2018-05-03_11_18_14,2144,2017-09-08,906242104476803072,http://twitter.com/SenRubioPress/status/906242104476803072
906330150081646593,5.689528619526054,297,571,113,427,2018-05-03_11_16_52,1014,2017-09-08,906330150081646593,http://twitter.com/SenRubioPress/status/906330150081646593
906865055702155265,5.852372372391312,666,1419,188,416,2018-05-03_11_15_27,2321,2017-09-10,906865055702155265,http://twitter.com/SenRubioPress/status/906865055702155265
900338151562117120,5.785494327419452,617,2853,385,1346,2018-05-03_11_28_07,2379,2017-08-23,900338151562117120,http://twitter.com/SenRubioPress/status/900338151562117120
902548592463925248,5.999817232380696,383,7270,189,12079,2018-05-03_11_26_46,1400,2017-08-27,902548592463925248,http://twitter.com/SenRubioPress/status/902548592463925248
902576704207642625,5.606092896203107,732,21183,3.0K,14647,2018-05-03_11_25_20,2615,2017-08-29,902576704207642625,http://twitter.com/SenRubioPress/status/902576704207642625
905173772277350400,5.789370629367786,286,359,79,170,2018-05-03_11_23_58,1030,2017-09-05,905173772277350400,http://twitter.com/SenRubioPress/status/905173772277350400
905211369259196416,5.6388364249739515,593,748,121,319,2018-05-03_11_22_35,2169,2017-09-05,905211369259196416,http://twitter.com/SenRubioPress/status/905211369259196416
898633897444917248,5.181125401927423,311,799,100,2094,2018-05-03_11_34_10,1817,2017-08-18,898633897444917248,http://twitter.com/SenRubioPress/status/898633897444917248
