,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
920458253405999104,5.9099085365817725,328,2486,84,1356,2018-05-05_19_44_47,1247,2017-10-17,920458253405999104,http://twitter.com/timkaine/status/920458253405999104
920633722470391808,6.074821428569666,224,2389,84,176,2018-05-05_19_43_14,718,2017-10-18,920633722470391808,http://twitter.com/timkaine/status/920633722470391808
920723793651404805,5.6471296296255336,324,2300,89,746,2018-05-05_19_41_43,1138,2017-10-18,920723793651404805,http://twitter.com/timkaine/status/920723793651404805
921065133484503040,5.611070840219965,607,3443,194,1429,2018-05-05_19_40_07,2508,2017-10-19,921065133484503040,http://twitter.com/timkaine/status/921065133484503040
921168817753133057,5.833423076922928,260,6903,93,1151,2018-05-05_19_38_37,901,2017-10-19,921168817753133057,http://twitter.com/timkaine/status/921168817753133057
921201996702584834,5.6217037862407215,898,7189,317,1630,2018-05-05_19_37_01,2706,2017-10-19,921201996702584834,http://twitter.com/timkaine/status/921201996702584834
918932417985089537,5.4908517350168635,317,1968,77,915,2018-05-05_19_52_55,1086,2017-10-13,918932417985089537,http://twitter.com/timkaine/status/918932417985089537
919264869546897414,5.369050925928922,432,1436,121,583,2018-05-05_19_50_56,1501,2017-10-14,919264869546897414,http://twitter.com/timkaine/status/919264869546897414
919660653975044097,5.584907407407175,216,3163,72,891,2018-05-05_19_49_24,682,2017-10-15,919660653975044097,http://twitter.com/timkaine/status/919660653975044097
919963203416870915,5.791020408189957,784,6484,259,2555,2018-05-05_19_47_55,2632,2017-10-16,919963203416870915,http://twitter.com/timkaine/status/919963203416870915
920127439036174336,5.792373271893543,434,6974,121,1932,2018-05-05_19_46_24,1431,2017-10-16,920127439036174336,http://twitter.com/timkaine/status/920127439036174336
918621784060162051,5.746282352944701,425,4090,89,3855,2018-05-05_20_03_42,1464,2017-10-11,918621784060162051,http://twitter.com/timkaine/status/918621784060162051
918679061291044864,5.474902998248837,567,4652,326,2089,2018-05-05_19_56_32,2142,2017-10-12,918679061291044864,http://twitter.com/timkaine/status/918679061291044864
918869974567079936,5.4086897404391525,809,2688,254,1130,2018-05-05_19_54_23,2911,2017-10-13,918869974567079936,http://twitter.com/timkaine/status/918869974567079936
917736995367120896,5.6360085227524825,704,7281,335,2158,2018-05-05_20_11_31,2876,2017-10-10,917736995367120896,http://twitter.com/timkaine/status/917736995367120896
918234658776678406,5.556734348587977,591,2713,155,1281,2018-05-05_20_09_57,2264,2017-10-11,918234658776678406,http://twitter.com/timkaine/status/918234658776678406
918453427839098881,5.524747899173988,714,6367,333,2245,2018-05-05_20_08_21,2817,2017-10-12,918453427839098881,http://twitter.com/timkaine/status/918453427839098881
918499569197113344,5.5390214477380075,746,24915,868,11361,2018-05-05_20_06_51,2755,2017-10-12,918499569197113344,http://twitter.com/timkaine/status/918499569197113344
917083771547111425,5.834479905471544,846,5283,251,2489,2018-05-05_20_18_32,3103,2017-10-08,917083771547111425,http://twitter.com/timkaine/status/917083771547111425
917421685313294337,5.671852899569927,707,2825,187,1176,2018-05-05_20_16_56,2610,2017-10-09,917421685313294337,http://twitter.com/timkaine/status/917421685313294337
917455975661162496,5.70593794077376,709,16289,1.0K,9102,2018-05-05_20_15_23,2730,2017-10-09,917455975661162496,http://twitter.com/timkaine/status/917455975661162496
917709676736860160,5.897848605577401,251,1282,77,318,2018-05-05_20_13_16,899,2017-10-10,917709676736860160,http://twitter.com/timkaine/status/917709676736860160
916296675244871682,5.427749999998994,280,1268,83,468,2018-05-05_20_26_23,1023,2017-10-06,916296675244871682,http://twitter.com/timkaine/status/916296675244871682
916302590815670272,6.055157629293723,793,4137,285,966,2018-05-05_20_24_52,2544,2017-10-06,916302590815670272,http://twitter.com/timkaine/status/916302590815670272
916324536710258688,5.782347826096046,1035,6654,419,2471,2018-05-05_20_23_17,3717,2017-10-06,916324536710258688,http://twitter.com/timkaine/status/916324536710258688
916373128212832256,5.323512195133539,615,14915,653,7442,2018-05-05_20_21_44,2606,2017-10-06,916373128212832256,http://twitter.com/timkaine/status/916373128212832256
917048721598238721,5.399491525432496,649,11832,196,3122,2018-05-05_20_20_08,2551,2017-10-08,917048721598238721,http://twitter.com/timkaine/status/917048721598238721
915662780744773633,5.292417302839652,786,4411,244,1113,2018-05-05_20_33_33,2732,2017-10-04,915662780744773633,http://twitter.com/timkaine/status/915662780744773633
915709934079283202,5.674571428569852,280,4230,72,1396,2018-05-05_20_32_09,939,2017-10-04,915709934079283202,http://twitter.com/timkaine/status/915709934079283202
915945564914798593,5.2943999999981175,400,860,88,184,2018-05-05_20_30_44,1410,2017-10-05,915945564914798593,http://twitter.com/timkaine/status/915945564914798593
916045465392517120,5.5646831955941645,363,1155,84,443,2018-05-05_20_29_20,1438,2017-10-05,916045465392517120,http://twitter.com/timkaine/status/916045465392517120
916075213191831553,5.726942029006361,690,8019,403,3407,2018-05-05_20_27_52,2520,2017-10-05,916075213191831553,http://twitter.com/timkaine/status/916075213191831553
915279751614484481,5.986881355930474,295,2228,74,409,2018-05-05_20_39_45,1006,2017-10-03,915279751614484481,http://twitter.com/timkaine/status/915279751614484481
915348056698126336,5.727685589518023,229,1189,77,363,2018-05-05_20_38_21,799,2017-10-03,915348056698126336,http://twitter.com/timkaine/status/915348056698126336
915597202294214656,5.418443579766391,257,684,70,560,2018-05-05_20_36_51,978,2017-10-04,915597202294214656,http://twitter.com/timkaine/status/915597202294214656
915631363251953664,5.728577586206088,232,889,67,179,2018-05-05_20_34_58,1017,2017-10-04,915631363251953664,http://twitter.com/timkaine/status/915631363251953664
914237918302097408,5.984938837943195,654,2470,213,212,2018-05-05_20_45_49,1943,2017-09-30,914237918302097408,http://twitter.com/timkaine/status/914237918302097408
914479322970378241,5.5980336352057805,773,4044,259,1217,2018-05-05_20_44_18,2712,2017-10-01,914479322970378241,http://twitter.com/timkaine/status/914479322970378241
914499511761981440,6.3435319767559735,688,15459,166,3305,2018-05-05_20_42_54,2113,2017-10-01,914499511761981440,http://twitter.com/timkaine/status/914499511761981440
914843347340136448,5.418446215140129,502,2639,126,367,2018-05-05_20_41_30,1577,2017-10-02,914843347340136448,http://twitter.com/timkaine/status/914843347340136448
