,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
910529384263675904,5.333053173258807,583,4006,166,2128,2018-05-07_17_02_23,2291,2017-09-20,910529384263675904,http://twitter.com/SenStabenow/status/910529384263675904
910567190239301638,5.793302752291289,218,310,70,53,2018-05-07_17_00_55,809,2017-09-20,910567190239301638,http://twitter.com/SenStabenow/status/910567190239301638
911254222729072640,5.988832487309669,197,433,72,89,2018-05-07_16_59_31,518,2017-09-22,911254222729072640,http://twitter.com/SenStabenow/status/911254222729072640
915352373299679233,5.594237288133856,295,477,74,291,2018-05-07_16_58_08,989,2017-10-03,915352373299679233,http://twitter.com/SenStabenow/status/915352373299679233
915985424203399169,5.568443113769251,334,448,80,227,2018-05-07_16_56_43,1124,2017-10-05,915985424203399169,http://twitter.com/SenStabenow/status/915985424203399169
896465070493970437,5.362608695649935,345,665,71,168,2018-05-07_17_09_41,1238,2017-08-12,896465070493970437,http://twitter.com/SenStabenow/status/896465070493970437
897824295908495360,5.256802244071643,713,976,138,235,2018-05-07_17_08_04,2682,2017-08-16,897824295908495360,http://twitter.com/SenStabenow/status/897824295908495360
905101284981821440,5.6057733813187465,556,835,123,255,2018-05-07_17_06_38,2218,2017-09-05,905101284981821440,http://twitter.com/SenStabenow/status/905101284981821440
909105518752485376,5.692658385110878,805,1069,137,722,2018-05-07_17_05_14,2749,2017-09-16,909105518752485376,http://twitter.com/SenStabenow/status/909105518752485376
910269792262619136,5.653747714821619,547,678,117,334,2018-05-07_17_03_47,1663,2017-09-19,910269792262619136,http://twitter.com/SenStabenow/status/910269792262619136
889571208940969987,5.728331854496317,1127,2263,405,1325,2018-05-07_17_17_21,3900,2017-07-24,889571208940969987,http://twitter.com/SenStabenow/status/889571208940969987
890003302104125442,5.6683876221660485,614,909,123,249,2018-05-07_17_15_56,1695,2017-07-25,890003302104125442,http://twitter.com/SenStabenow/status/890003302104125442
890337340127940610,5.619170305679674,458,564,87,277,2018-05-07_17_14_29,1449,2017-07-26,890337340127940610,http://twitter.com/SenStabenow/status/890337340127940610
890752060584538117,5.900682492578943,337,552,69,174,2018-05-07_17_12_55,1021,2017-07-27,890752060584538117,http://twitter.com/SenStabenow/status/890752060584538117
890786559053541376,5.559204678376229,855,4189,209,5312,2018-05-07_17_11_15,2997,2017-07-27,890786559053541376,http://twitter.com/SenStabenow/status/890786559053541376
