,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
990008227952824323,5.857865796869662,1073,9408,549,1565,2018-05-04_08_32_19,3543,2018-04-27,990008227952824323,http://twitter.com/HillaryClinton/status/990008227952824323
990920482638696450,5.744897660709956,1368,20317,1.9K,3142,2018-05-04_08_30_44,4709,2018-04-30,990920482638696450,http://twitter.com/HillaryClinton/status/990920482638696450
991114798095007745,5.891858470251793,1399,58406,3.3K,9081,2018-05-04_08_28_44,4587,2018-04-30,991114798095007745,http://twitter.com/HillaryClinton/status/991114798095007745
992080709438361601,6.071862489141156,1149,7851,353,2068,2018-05-04_08_27_05,3638,2018-05-03,992080709438361601,http://twitter.com/HillaryClinton/status/992080709438361601
988758787279474689,5.887970588155472,1360,26614,1.3K,5126,2018-05-04_08_39_59,4404,2018-04-24,988758787279474689,http://twitter.com/HillaryClinton/status/988758787279474689
988761388632952832,6.304522935824294,1090,26157,560,15337,2018-05-04_08_38_31,3434,2018-04-23,988761388632952832,http://twitter.com/HillaryClinton/status/988761388632952832
989670740730490881,5.950535390230456,1102,21245,835,4039,2018-05-04_08_36_54,3613,2018-04-26,989670740730490881,http://twitter.com/HillaryClinton/status/989670740730490881
989915962731368451,5.790428571448366,1120,16206,3.7K,2567,2018-05-04_08_35_29,3805,2018-04-27,989915962731368451,http://twitter.com/HillaryClinton/status/989915962731368451
989996258566852610,5.878957253772778,1544,38117,2.7K,7402,2018-05-04_08_33_53,5400,2018-04-27,989996258566852610,http://twitter.com/HillaryClinton/status/989996258566852610
983464202919653376,6.06558111382551,826,30754,758,2888,2018-05-04_08_47_45,2529,2018-04-09,983464202919653376,http://twitter.com/HillaryClinton/status/983464202919653376
984597321353715712,5.854625850360992,882,17386,1.6K,3827,2018-05-04_08_46_16,2795,2018-04-12,984597321353715712,http://twitter.com/HillaryClinton/status/984597321353715712
984611815798820864,5.711462167715997,978,8294,1.1K,1725,2018-05-04_08_44_37,3361,2018-04-12,984611815798820864,http://twitter.com/HillaryClinton/status/984611815798820864
985908580430819329,5.804716525953344,829,175388,3.2K,21253,2018-05-04_08_43_02,2435,2018-04-16,985908580430819329,http://twitter.com/HillaryClinton/status/985908580430819329
987786450535055361,5.594149459216749,1017,87672,3.9K,20471,2018-05-04_08_41_36,3374,2018-04-21,987786450535055361,http://twitter.com/HillaryClinton/status/987786450535055361
979823364113141763,5.767607192279577,723,43272,2.3K,7721,2018-05-04_08_55_20,2428,2018-03-30,979823364113141763,http://twitter.com/HillaryClinton/status/979823364113141763
979823851222786048,6.108351983743037,983,26787,1.4K,2980,2018-05-04_08_53_55,3249,2018-03-30,979823851222786048,http://twitter.com/HillaryClinton/status/979823851222786048
981664484120039424,5.906064668740215,1268,23254,1.1K,4498,2018-05-04_08_52_18,3801,2018-04-04,981664484120039424,http://twitter.com/HillaryClinton/status/981664484120039424
981709339294650369,5.769443902461684,1025,25625,1.3K,3147,2018-05-04_08_50_50,3474,2018-04-04,981709339294650369,http://twitter.com/HillaryClinton/status/981709339294650369
981716478218133504,5.910237623812917,1010,21519,936,4800,2018-05-04_08_49_15,3546,2018-04-04,981716478218133504,http://twitter.com/HillaryClinton/status/981716478218133504
974824222253092864,5.482443365734701,1236,46622,2.2K,5631,2018-05-04_09_02_59,3672,2018-03-16,974824222253092864,http://twitter.com/HillaryClinton/status/974824222253092864
976524958770827264,5.876830225745149,1019,74115,1.2K,9923,2018-05-04_09_01_28,3501,2018-03-21,976524958770827264,http://twitter.com/HillaryClinton/status/976524958770827264
976549758352240640,5.13375000006202,944,13332,1.2K,4068,2018-05-04_08_59_53,3961,2018-03-21,976549758352240640,http://twitter.com/HillaryClinton/status/976549758352240640
976823790649962496,5.645503144683826,636,10119,1.7K,2419,2018-05-04_08_58_26,2318,2018-03-22,976823790649962496,http://twitter.com/HillaryClinton/status/976823790649962496
977616710588141568,5.726954314697948,1182,91900,3.6K,16894,2018-05-04_08_56_49,3941,2018-03-24,977616710588141568,http://twitter.com/HillaryClinton/status/977616710588141568
968874798771310592,5.682028765959308,1321,67131,14K,26419,2018-05-04_10_55_42,5069,2018-02-28,968874798771310592,http://twitter.com/HillaryClinton/status/968874798771310592
969257037027831808,5.789469790409356,811,54139,2.5K,15922,2018-05-04_10_54_10,2593,2018-03-01,969257037027831808,http://twitter.com/HillaryClinton/status/969257037027831808
969602156977377282,5.711121951236694,615,20553,636,6051,2018-05-04_10_52_30,2331,2018-03-02,969602156977377282,http://twitter.com/HillaryClinton/status/969602156977377282
970071393990832129,5.8119748427805815,795,256205,7.2K,30953,2018-05-04_10_50_48,2641,2018-03-03,970071393990832129,http://twitter.com/HillaryClinton/status/970071393990832129
971776610612449280,5.941896774052831,1550,97045,4.9K,22912,2018-05-04_10_49_04,4761,2018-03-08,971776610612449280,http://twitter.com/HillaryClinton/status/971776610612449280
966454765466083328,5.789501718206158,1164,126914,3.1K,27414,2018-05-04_11_03_59,3977,2018-02-21,966454765466083328,http://twitter.com/HillaryClinton/status/966454765466083328
966795385732845569,5.751774071198442,1319,50078,2.7K,16425,2018-05-04_11_02_19,4432,2018-02-22,966795385732845569,http://twitter.com/HillaryClinton/status/966795385732845569
968321022427652096,5.669215686218487,1224,72089,7.5K,22092,2018-05-04_11_00_43,4203,2018-02-26,968321022427652096,http://twitter.com/HillaryClinton/status/968321022427652096
968512553948254209,5.735247035614703,1012,37887,1.2K,15231,2018-05-04_10_59_02,3339,2018-02-24,968512553948254209,http://twitter.com/HillaryClinton/status/968512553948254209
968543389116456960,5.900512091053447,703,46477,2.0K,4815,2018-05-04_10_57_31,2356,2018-02-27,968543389116456960,http://twitter.com/HillaryClinton/status/968543389116456960
