,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
913876329803763712,5.718795180743912,498,2592,219,1223,2018-05-08_10_12_37,1857,2017-09-29,913876329803763712,http://twitter.com/SenRonJohnson/status/913876329803763712
913884021746208769,5.952863849763657,213,8,73,7,2018-05-08_10_10_39,695,2017-09-29,913884021746208769,http://twitter.com/SenRonJohnson/status/913884021746208769
914820104986165248,5.492735703261008,647,125,1.2K,33,2018-05-08_10_09_04,2182,2017-10-02,914820104986165248,http://twitter.com/SenRonJohnson/status/914820104986165248
914938951965736961,5.802450832086128,661,35824,428,35253,2018-05-08_10_07_32,1837,2017-10-02,914938951965736961,http://twitter.com/SenRonJohnson/status/914938951965736961
918554040505692160,5.579486899584817,916,49,176,18,2018-05-08_10_05_48,3184,2017-10-12,918554040505692160,http://twitter.com/SenRonJohnson/status/918554040505692160
921187966646607872,5.529189189204065,481,88,135,42,2018-05-08_10_04_11,1826,2017-10-19,921187966646607872,http://twitter.com/SenRonJohnson/status/921187966646607872
911003358311231488,5.317990919423725,881,60,239,26,2018-05-08_10_21_47,2908,2017-09-21,911003358311231488,http://twitter.com/SenRonJohnson/status/911003358311231488
911036073471385600,5.333965714304581,875,63,226,22,2018-05-08_10_20_05,2856,2017-09-21,911036073471385600,http://twitter.com/SenRonJohnson/status/911036073471385600
912024171756048384,5.551222091685252,851,82,240,45,2018-05-08_10_18_27,2816,2017-09-24,912024171756048384,http://twitter.com/SenRonJohnson/status/912024171756048384
912024236864212993,5.3972850679006905,884,101,281,42,2018-05-08_10_17_02,2820,2017-09-24,912024236864212993,http://twitter.com/SenRonJohnson/status/912024236864212993
912485172636995584,5.5512146892637455,354,17,86,9,2018-05-08_10_15_40,1073,2017-09-25,912485172636995584,http://twitter.com/SenRonJohnson/status/912485172636995584
913132916296761345,5.841314878889121,289,51,71,19,2018-05-08_10_14_08,924,2017-09-27,913132916296761345,http://twitter.com/SenRonJohnson/status/913132916296761345
910274897192079360,5.351733477813416,923,78,496,34,2018-05-08_10_29_18,3097,2017-09-19,910274897192079360,http://twitter.com/SenRonJohnson/status/910274897192079360
910657971646029824,5.5722649572782945,468,8,107,4,2018-05-08_10_27_52,1565,2017-09-20,910657971646029824,http://twitter.com/SenRonJohnson/status/910657971646029824
910685284400066560,5.249015151531458,660,28,137,8,2018-05-08_10_26_21,2233,2017-09-20,910685284400066560,http://twitter.com/SenRonJohnson/status/910685284400066560
910946663103156224,5.5490575079983735,626,55,154,26,2018-05-08_10_24_54,2167,2017-09-21,910946663103156224,http://twitter.com/SenRonJohnson/status/910946663103156224
910971398830440449,5.493505976128811,1004,96,258,41,2018-05-08_10_23_18,3177,2017-09-21,910971398830440449,http://twitter.com/SenRonJohnson/status/910971398830440449
904485952709636096,5.34756272401158,279,100,88,48,2018-05-08_10_37_42,898,2017-09-03,904485952709636096,http://twitter.com/SenRonJohnson/status/904485952709636096
905165894409703425,5.5012534819117915,718,278,224,131,2018-05-08_10_35_42,2794,2017-09-05,905165894409703425,http://twitter.com/SenRonJohnson/status/905165894409703425
907636197513678849,5.424943310669867,441,1898,163,553,2018-05-08_10_34_16,2003,2017-09-12,907636197513678849,http://twitter.com/SenRonJohnson/status/907636197513678849
908057944016736256,5.6062909090890445,275,71,81,95,2018-05-08_10_32_52,1087,2017-09-13,908057944016736256,http://twitter.com/SenRonJohnson/status/908057944016736256
908080719267815425,5.404940898343646,423,71,98,29,2018-05-08_10_31_32,1404,2017-09-13,908080719267815425,http://twitter.com/SenRonJohnson/status/908080719267815425
893971690270724096,5.332795031072946,483,85,134,17,2018-05-08_10_45_12,1831,2017-08-05,893971690270724096,http://twitter.com/SenRonJohnson/status/893971690270724096
895592687138721793,5.458996655517369,299,17,71,6,2018-05-08_10_43_48,1087,2017-08-10,895592687138721793,http://twitter.com/SenRonJohnson/status/895592687138721793
896529979843805184,5.1863300142649456,703,253,735,71,2018-05-08_10_42_16,2731,2017-08-12,896529979843805184,http://twitter.com/SenRonJohnson/status/896529979843805184
897910909703774208,5.524892761416881,746,73,214,12,2018-05-08_10_40_44,2976,2017-08-16,897910909703774208,http://twitter.com/SenRonJohnson/status/897910909703774208
