,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
991874915455266816,5.653789473682423,190,161,55,62,2018-05-04_16_39_22,747,2018-05-02,991874915455266816,http://twitter.com/marcorubio/status/991874915455266816
992005913170112513,5.769565217415419,851,3277,489,572,2018-05-04_16_37_32,3107,2018-05-03,992005913170112513,http://twitter.com/marcorubio/status/992005913170112513
992007516518264833,5.757977736566423,539,479,108,204,2018-05-04_16_35_50,1894,2018-05-03,992007516518264833,http://twitter.com/marcorubio/status/992007516518264833
992017887123648512,5.704946727561401,657,421,105,140,2018-05-04_16_34_12,2425,2018-05-03,992017887123648512,http://twitter.com/marcorubio/status/992017887123648512
992020388942139392,5.640823170613188,1312,573,231,222,2018-05-04_16_32_23,4805,2018-05-03,992020388942139392,http://twitter.com/marcorubio/status/992020388942139392
991759137116651521,6.135555555555768,72,86,15,39,2018-05-04_16_45_31,265,2018-05-02,991759137116651521,http://twitter.com/marcorubio/status/991759137116651521
991874392308289538,5.524641089153215,808,557,178,277,2018-05-04_16_43_56,2690,2018-05-02,991874392308289538,http://twitter.com/marcorubio/status/991874392308289538
991874596516196352,5.608984881227727,463,262,94,93,2018-05-04_16_42_06,1629,2018-05-02,991874596516196352,http://twitter.com/marcorubio/status/991874596516196352
991345901011656705,5.751012658226895,237,325,45,77,2018-05-04_16_53_24,946,2018-05-01,991345901011656705,http://twitter.com/marcorubio/status/991345901011656705
991368705908117504,5.6163425926033845,432,168,80,78,2018-05-04_16_51_50,1632,2018-05-01,991368705908117504,http://twitter.com/marcorubio/status/991368705908117504
991642760443768832,5.705965065464937,1145,886,1.3K,219,2018-05-04_16_49_57,4082,2018-05-02,991642760443768832,http://twitter.com/marcorubio/status/991642760443768832
991685845131415553,5.700449438201536,178,218,43,89,2018-05-04_16_48_39,720,2018-05-02,991685845131415553,http://twitter.com/marcorubio/status/991685845131415553
991715770810994688,5.570278035257796,1079,1729,2.9K,546,2018-05-04_16_47_00,3839,2018-05-02,991715770810994688,http://twitter.com/marcorubio/status/991715770810994688
990919019023753216,5.6705466970477865,439,538,99,198,2018-05-04_17_01_30,1658,2018-04-30,990919019023753216,http://twitter.com/marcorubio/status/990919019023753216
990928401438511104,5.596406249999042,384,203,79,75,2018-05-04_16_59_47,1268,2018-04-30,990928401438511104,http://twitter.com/marcorubio/status/990928401438511104
990929871818944512,5.65838620691548,725,296,132,115,2018-05-04_16_58_09,2556,2018-04-30,990929871818944512,http://twitter.com/marcorubio/status/990929871818944512
991303754799550465,5.633429342896654,1111,508,213,271,2018-05-04_16_56_15,4323,2018-05-01,991303754799550465,http://twitter.com/marcorubio/status/991303754799550465
991344971839102976,5.885390070922009,141,194,39,101,2018-05-04_16_54_46,528,2018-05-01,991344971839102976,http://twitter.com/marcorubio/status/991344971839102976
989923728044773377,6.059292035398289,113,400,57,114,2018-05-04_17_10_08,445,2018-04-27,989923728044773377,http://twitter.com/marcorubio/status/989923728044773377
989978915635646465,5.776530380404438,1761,3012,969,903,2018-05-04_17_08_07,6427,2018-04-27,989978915635646465,http://twitter.com/marcorubio/status/989978915635646465
989981417995227136,5.765925058558494,427,262,106,100,2018-05-04_17_06_20,1599,2018-04-27,989981417995227136,http://twitter.com/marcorubio/status/989981417995227136
990894003653697536,5.761262525067963,998,4136,542,584,2018-05-04_17_04_25,3503,2018-04-30,990894003653697536,http://twitter.com/marcorubio/status/990894003653697536
990903204144668672,5.510919999998455,250,340,63,161,2018-05-04_17_03_02,919,2018-04-30,990903204144668672,http://twitter.com/marcorubio/status/990903204144668672
989455714266513408,5.5989107611881686,762,3461,748,561,2018-05-04_17_17_07,2757,2018-04-26,989455714266513408,http://twitter.com/marcorubio/status/989455714266513408
989819429361016832,5.762545454568262,990,5733,756,901,2018-05-04_17_15_01,3286,2018-04-27,989819429361016832,http://twitter.com/marcorubio/status/989819429361016832
989847480031424512,5.3943427620920215,601,428,121,211,2018-05-04_17_13_19,3064,2018-04-27,989847480031424512,http://twitter.com/marcorubio/status/989847480031424512
989890427179421698,5.471695652184143,460,640,132,210,2018-05-04_17_11_47,1896,2018-04-27,989890427179421698,http://twitter.com/marcorubio/status/989890427179421698
989276539484360705,5.772953890317912,1388,1973,663,542,2018-05-04_17_25_47,5140,2018-04-25,989276539484360705,http://twitter.com/marcorubio/status/989276539484360705
989293081987043328,5.855839999998572,250,524,69,222,2018-05-04_17_24_01,976,2018-04-25,989293081987043328,http://twitter.com/marcorubio/status/989293081987043328
988781487800700928,5.67079575592883,1131,358,231,135,2018-05-04_17_35_04,4221,2018-04-24,988781487800700928,http://twitter.com/marcorubio/status/988781487800700928
989093588297502720,5.5759883041184555,855,2306,512,420,2018-05-04_17_32_06,2940,2018-04-25,989093588297502720,http://twitter.com/marcorubio/status/989093588297502720
989134468475650050,6.0824385447780775,1017,1554,343,632,2018-05-04_17_30_18,3057,2018-04-25,989134468475650050,http://twitter.com/marcorubio/status/989134468475650050
989136656576991239,5.490927487364654,593,539,149,227,2018-05-04_17_28_02,2309,2018-04-25,989136656576991239,http://twitter.com/marcorubio/status/989136656576991239
988567895688073217,5.69820861678696,441,424,81,224,2018-05-04_17_44_35,1562,2018-04-23,988567895688073217,http://twitter.com/marcorubio/status/988567895688073217
988578344223551488,5.81261376899496,857,890,205,151,2018-05-04_17_42_38,3218,2018-04-23,988578344223551488,http://twitter.com/marcorubio/status/988578344223551488
988590380995284992,5.601090124116664,1853,4284,2.6K,1552,2018-05-04_17_40_16,7007,2018-04-23,988590380995284992,http://twitter.com/marcorubio/status/988590380995284992
988725272529833984,5.712050599226159,751,4646,1.3K,760,2018-05-04_17_38_33,2588,2018-04-24,988725272529833984,http://twitter.com/marcorubio/status/988725272529833984
988730616639258624,5.844495798317809,238,1288,87,265,2018-05-04_17_36_54,881,2018-04-24,988730616639258624,http://twitter.com/marcorubio/status/988730616639258624
988064036116983812,5.784636251581903,811,8208,1.1K,1075,2018-05-04_17_52_50,2614,2018-04-22,988064036116983812,http://twitter.com/marcorubio/status/988064036116983812
988367022064111616,5.869256281432175,995,3324,894,495,2018-05-04_17_51_20,3246,2018-04-23,988367022064111616,http://twitter.com/marcorubio/status/988367022064111616
988370317994229760,5.776364864895662,740,825,147,298,2018-05-04_17_49_36,2639,2018-04-23,988370317994229760,http://twitter.com/marcorubio/status/988370317994229760
988414264825217024,5.589061833733049,938,3507,796,955,2018-05-04_17_47_46,3755,2018-04-23,988414264825217024,http://twitter.com/marcorubio/status/988414264825217024
988566359016726528,5.53411861615874,607,431,129,228,2018-05-04_17_46_14,2137,2018-04-23,988566359016726528,http://twitter.com/marcorubio/status/988566359016726528
987419625746042882,5.727993079581307,289,294,61,101,2018-05-04_18_00_05,990,2018-04-20,987419625746042882,http://twitter.com/marcorubio/status/987419625746042882
987489394436313088,5.822074074073478,135,474,34,103,2018-05-04_17_58_44,479,2018-04-20,987489394436313088,http://twitter.com/marcorubio/status/987489394436313088
987489513562955776,5.722938388623878,211,506,48,125,2018-05-04_17_57_23,779,2018-04-20,987489513562955776,http://twitter.com/marcorubio/status/987489513562955776
987729999733121025,5.552510013370999,749,859,178,389,2018-05-04_17_55_53,3039,2018-04-21,987729999733121025,http://twitter.com/marcorubio/status/987729999733121025
