,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
907730938678923264,5.7165722379567026,353,2218,70,755,2018-05-08_10_11_20,1186,2017-09-12,907730938678923264,http://twitter.com/SenDuckworth/status/907730938678923264
908839547773038592,5.626441281152438,843,8124,201,4088,2018-05-08_10_09_54,3208,2017-09-15,908839547773038592,http://twitter.com/SenDuckworth/status/908839547773038592
909935504975712256,6.0919545454572726,440,3134,89,838,2018-05-08_10_08_23,1419,2017-09-18,909935504975712256,http://twitter.com/SenDuckworth/status/909935504975712256
913552214316249088,5.943235294115478,272,1122,72,301,2018-05-08_10_06_50,849,2017-09-28,913552214316249088,http://twitter.com/SenDuckworth/status/913552214316249088
915678096027799553,5.9718897637773445,254,1266,85,701,2018-05-08_10_05_17,895,2017-10-04,915678096027799553,http://twitter.com/SenDuckworth/status/915678096027799553
918561767944605698,5.484326530610689,245,972,69,629,2018-05-08_10_03_50,919,2017-10-12,918561767944605698,http://twitter.com/SenDuckworth/status/918561767944605698
902952043542966272,5.823870967737218,372,3977,135,2025,2018-05-08_10_17_20,1380,2017-08-30,902952043542966272,http://twitter.com/SenDuckworth/status/902952043542966272
903346387622006784,5.376473118289822,465,1491,150,638,2018-05-08_10_15_57,1774,2017-08-31,903346387622006784,http://twitter.com/SenDuckworth/status/903346387622006784
905095477754036225,5.7989801699748025,353,1492,77,564,2018-05-08_10_14_31,1500,2017-09-05,905095477754036225,http://twitter.com/SenDuckworth/status/905095477754036225
905918332490174464,6.198194690285621,565,111030,2.3K,17268,2018-05-08_10_12_58,1799,2017-09-07,905918332490174464,http://twitter.com/SenDuckworth/status/905918332490174464
901225626144833537,5.75580470166313,1106,148404,2.0K,54967,2018-05-08_10_20_48,3795,2017-08-24,901225626144833537,http://twitter.com/SenDuckworth/status/901225626144833537
901297673646600192,5.4385483871310365,744,6441,287,2175,2018-05-08_10_19_15,3143,2017-08-25,901297673646600192,http://twitter.com/SenDuckworth/status/901297673646600192
897864185064935425,6.018644314904917,686,82512,3.1K,28646,2018-05-08_10_29_12,2409,2017-08-15,897864185064935425,http://twitter.com/SenDuckworth/status/897864185064935425
897864690793140225,6.004395750372202,753,9837,425,4230,2018-05-08_10_27_42,2326,2017-08-16,897864690793140225,http://twitter.com/SenDuckworth/status/897864690793140225
897896605952745473,5.4856680162166445,741,126908,3.5K,56143,2018-05-08_10_26_13,3070,2017-08-15,897896605952745473,http://twitter.com/SenDuckworth/status/897896605952745473
900838625205784576,5.75580470166313,1106,148403,2.0K,54966,2018-05-08_10_24_02,3795,2017-08-24,900838625205784576,http://twitter.com/SenDuckworth/status/900838625205784576
892064329318764544,5.924197530865327,324,3024,85,1676,2018-05-08_10_34_17,1101,2017-07-31,892064329318764544,http://twitter.com/SenDuckworth/status/892064329318764544
897642651444551682,5.393527131800367,516,2475,123,833,2018-05-08_10_32_47,1942,2017-08-15,897642651444551682,http://twitter.com/SenDuckworth/status/897642651444551682
897862542189572096,5.729434389179469,884,108499,3.4K,34192,2018-05-08_10_30_48,3224,2017-08-16,897862542189572096,http://twitter.com/SenDuckworth/status/897862542189572096
890020649573462016,5.992775665408717,526,4965,121,2094,2018-05-08_10_41_29,1518,2017-07-25,890020649573462016,http://twitter.com/SenDuckworth/status/890020649573462016
890249050003566593,5.792282913195481,714,5675,178,1785,2018-05-08_10_39_53,2561,2017-07-26,890249050003566593,http://twitter.com/SenDuckworth/status/890249050003566593
890364032867291140,6.2827401129894085,354,449,78,82,2018-05-08_10_37_52,1102,2017-07-26,890364032867291140,http://twitter.com/SenDuckworth/status/890364032867291140
890370824259207169,6.033956723374064,647,2860,165,1440,2018-05-08_10_36_20,2142,2017-07-26,890370824259207169,http://twitter.com/SenDuckworth/status/890370824259207169
880203156981825536,5.948626262631283,495,2376,98,650,2018-05-08_10_47_45,1382,2017-06-28,880203156981825536,http://twitter.com/SenDuckworth/status/880203156981825536
880608454012014595,5.648542510119992,247,1315,72,497,2018-05-08_10_45_49,885,2017-06-29,880608454012014595,http://twitter.com/SenDuckworth/status/880608454012014595
880897207423168513,5.287174447178414,407,1118,79,437,2018-05-08_10_44_23,1721,2017-06-30,880897207423168513,http://twitter.com/SenDuckworth/status/880897207423168513
889531468036403201,5.720674460450593,1112,2261,405,1325,2018-05-08_10_42_54,3892,2017-07-24,889531468036403201,http://twitter.com/SenDuckworth/status/889531468036403201
864618641194614785,5.680199999998016,300,2637,105,1047,2018-05-08_10_54_38,1214,2017-05-16,864618641194614785,http://twitter.com/SenDuckworth/status/864618641194614785
876942431991853056,5.6572654155691575,746,3111,227,2455,2018-05-08_10_52_47,2683,2017-06-19,876942431991853056,http://twitter.com/SenDuckworth/status/876942431991853056
876976499559190528,5.520991253641204,343,845,91,736,2018-05-08_10_51_20,1161,2017-06-19,876976499559190528,http://twitter.com/SenDuckworth/status/876976499559190528
877218389378433024,5.51184375001877,640,1598,285,956,2018-05-08_10_49_50,2461,2017-06-20,877218389378433024,http://twitter.com/SenDuckworth/status/877218389378433024
860544865003855872,6.4741304348173765,966,75640,1.4K,44944,2018-05-08_10_59_48,2704,2017-05-03,860544865003855872,http://twitter.com/SenDuckworth/status/860544865003855872
864238845612748800,5.588514851494421,404,2360,125,921,2018-05-08_10_57_43,1688,2017-05-15,864238845612748800,http://twitter.com/SenDuckworth/status/864238845612748800
864518351061749760,5.713746177395303,654,8125,214,3101,2018-05-08_10_56_06,2622,2017-05-16,864518351061749760,http://twitter.com/SenDuckworth/status/864518351061749760
