,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
989536546826215424,5.662155085637758,993,886,148,420,2018-04-30_12_36_38,3740,2018-04-26,989536546826215424,http://twitter.com/SenSanders/status/989536546826215424
989545193031503872,5.57930921046226,1216,7933,338,1725,2018-04-30_12_35_11,4404,2018-04-26,989545193031503872,http://twitter.com/SenSanders/status/989545193031503872
989590371708624896,5.970571114709824,1821,42406,531,10347,2018-04-30_12_32_44,6375,2018-04-26,989590371708624896,http://twitter.com/SenSanders/status/989590371708624896
989632716499894272,5.83793804453087,2066,15854,1.7K,6598,2018-04-30_12_31_11,7344,2018-04-26,989632716499894272,http://twitter.com/SenSanders/status/989632716499894272
989881861223604224,5.8505681158700575,1725,3515,304,1633,2018-04-30_12_29_38,6114,2018-04-27,989881861223604224,http://twitter.com/SenSanders/status/989881861223604224
989905755368316929,5.856086956519508,253,1447,54,293,2018-04-30_12_28_15,926,2018-04-27,989905755368316929,http://twitter.com/SenSanders/status/989905755368316929
990271260113424385,5.857590286292773,1606,10513,334,3002,2018-04-30_12_26_48,5195,2018-04-28,990271260113424385,http://twitter.com/SenSanders/status/990271260113424385
988505909004468224,5.659039463771768,1343,7624,417,2614,2018-04-30_12_51_36,4870,2018-04-12,988505909004468224,http://twitter.com/SenSanders/status/988505909004468224
988781924150923266,5.472780358216194,1507,20583,534,6601,2018-04-30_12_50_08,6141,2018-04-24,988781924150923266,http://twitter.com/SenSanders/status/988781924150923266
988825121686212608,5.767292418699057,1662,11035,585,4320,2018-04-30_12_48_34,6096,2018-04-24,988825121686212608,http://twitter.com/SenSanders/status/988825121686212608
988898733063589889,5.699401794623325,1003,8267,483,3717,2018-04-30_12_47_11,3948,2018-04-24,988898733063589889,http://twitter.com/SenSanders/status/988898733063589889
989152954182709249,5.831566037740957,1060,3127,260,1479,2018-04-30_12_45_46,4091,2018-04-25,989152954182709249,http://twitter.com/SenSanders/status/989152954182709249
989183476883771393,5.542641383779189,1503,3440,270,1809,2018-04-30_12_44_15,5178,2018-04-25,989183476883771393,http://twitter.com/SenSanders/status/989183476883771393
989224324828684288,5.916309012628888,2330,13642,1.0K,5505,2018-04-30_12_42_39,9006,2018-04-25,989224324828684288,http://twitter.com/SenSanders/status/989224324828684288
989246624739315712,5.384055080685588,1053,3726,304,1017,2018-04-30_12_41_14,4572,2018-04-25,989246624739315712,http://twitter.com/SenSanders/status/989246624739315712
989500107820294144,5.535849056507133,1378,2775,287,1529,2018-04-30_12_39_52,4973,2018-04-26,989500107820294144,http://twitter.com/SenSanders/status/989500107820294144
989512930013138944,5.808335607106778,733,1609,152,394,2018-04-30_12_38_29,2885,2018-04-26,989512930013138944,http://twitter.com/SenSanders/status/989512930013138944
987123919395147777,5.899149797584848,494,1852,99,558,2018-04-30_13_04_53,1971,2018-04-19,987123919395147777,http://twitter.com/SenSanders/status/987123919395147777
987140448186757120,5.7997381546381614,802,1243,51,380,2018-04-30_13_03_34,2667,2018-04-19,987140448186757120,http://twitter.com/SenSanders/status/987140448186757120
987150189495496704,5.837368421052918,95,756,24,158,2018-04-30_13_02_15,378,2018-04-19,987150189495496704,http://twitter.com/SenSanders/status/987150189495496704
987413842958454784,5.586790540561829,888,18154,543,6309,2018-04-30_13_00_22,3206,2018-04-20,987413842958454784,http://twitter.com/SenSanders/status/987413842958454784
987426524856045569,5.595964783501097,1363,9921,317,1871,2018-04-30_12_58_55,4619,2018-04-20,987426524856045569,http://twitter.com/SenSanders/status/987426524856045569
